2020-06-09-18-21-01	=============== Application Start ==============
2020-06-09-18-21-02	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-02	repicking object : 0
2020-06-09-18-21-02	grip wait start
2020-06-09-18-21-02	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-02	repicking object : 0
2020-06-09-18-21-03	grip wait finish
2020-06-09-18-21-03	dxl wait start
2020-06-09-18-21-03	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-03	repicking object : 0
2020-06-09-18-21-03	dxl wait finish
2020-06-09-18-21-04	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-04	repicking object : 0
2020-06-09-18-21-04	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-04	repicking object : 0
2020-06-09-18-21-05	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-05	repicking object : 0
2020-06-09-18-21-05	dxl wait start
2020-06-09-18-21-05	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-05	repicking object : 0
2020-06-09-18-21-06	dxl wait finish
2020-06-09-18-21-06	dxl wait start
2020-06-09-18-21-06	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-06	repicking object : 0
2020-06-09-18-21-06	dxl wait finish
2020-06-09-18-21-06	grip wait start
2020-06-09-18-21-06	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-06	repicking object : 0
2020-06-09-18-21-07	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-07	repicking object : 0
2020-06-09-18-21-07	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-07	repicking object : 0
2020-06-09-18-21-07	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-07	repicking object : 0
2020-06-09-18-21-07	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-07	repicking object : 0
2020-06-09-18-21-08	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-08	repicking object : 0
2020-06-09-18-21-08	grip wait finish
2020-06-09-18-21-08	dxl wait start
2020-06-09-18-21-08	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-08	repicking object : 0
2020-06-09-18-21-08	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-08	repicking object : 0
2020-06-09-18-21-09	dxl wait finish
2020-06-09-18-21-09	grip wait start
2020-06-09-18-21-09	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-09	repicking object : 0
2020-06-09-18-21-09	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-09	repicking object : 0
2020-06-09-18-21-10	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-10	repicking object : 0
2020-06-09-18-21-10	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-10	repicking object : 0
2020-06-09-18-21-11	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-11	repicking object : 0
2020-06-09-18-21-12	grip wait finish
2020-06-09-18-21-12	dxl wait start
2020-06-09-18-21-12	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-12	repicking object : 0
2020-06-09-18-21-12	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-12	repicking object : 0
2020-06-09-18-21-12	dxl wait finish
2020-06-09-18-21-12	dxl wait start
2020-06-09-18-21-13	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-13	repicking object : 0
2020-06-09-18-21-13	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
