2020-06-09-19-20-07	=============== Application Start ==============
2020-06-09-19-20-08	dxl wait start
2020-06-09-19-20-08	[offset] x:=16.717000,y:=-9.138000,z:=-175.000000
2020-06-09-19-20-08	repicking object : 1
2020-06-09-19-20-09	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-20-09	repicking object : 0
2020-06-09-19-20-09	dxl wait finish
2020-06-09-19-20-09	dxl wait start
2020-06-09-19-20-09	dxl wait finish
2020-06-09-19-20-09	dxl wait start
2020-06-09-19-20-09	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-20-09	repicking object : 0
2020-06-09-19-20-09	[offset] x:=17.372000,y:=-47.820000,z:=-193.000000
2020-06-09-19-20-09	repicking object : 1
2020-06-09-19-20-09	dxl wait finish
2020-06-09-19-20-09	grip wait start
2020-06-09-19-20-10	[offset] x:=15.170000,y:=-50.753000,z:=-193.000000
2020-06-09-19-20-10	repicking object : 1
2020-06-09-19-20-10	[offset] x:=17.796000,y:=-47.507000,z:=-193.000000
2020-06-09-19-20-10	repicking object : 1
2020-06-09-19-20-11	[offset] x:=17.449000,y:=-48.069000,z:=-192.000000
2020-06-09-19-20-11	repicking object : 1
2020-06-09-19-20-11	[offset] x:=16.542000,y:=-50.269000,z:=-188.000000
2020-06-09-19-20-11	repicking object : 1
2020-06-09-19-20-12	[offset] x:=15.122000,y:=-50.561000,z:=-188.000000
2020-06-09-19-20-12	repicking object : 1
2020-06-09-19-20-13	grip wait finish
2020-06-09-19-20-13	dxl wait start
2020-06-09-19-20-13	[offset] x:=14.894000,y:=-51.246000,z:=-188.000000
2020-06-09-19-20-13	repicking object : 1
2020-06-09-19-20-13	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-20-13	repicking object : 0
2020-06-09-19-20-13	dxl wait finish
2020-06-09-19-20-13	dxl wait start
2020-06-09-19-20-13	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-20-13	repicking object : 0
2020-06-09-19-20-14	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-20-14	repicking object : 0
2020-06-09-19-20-14	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-20-14	repicking object : 0
2020-06-09-19-20-14	dxl wait finish
2020-06-09-19-20-14	dxl wait start
2020-06-09-19-20-14	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-20-14	repicking object : 0
2020-06-09-19-20-15	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-20-15	repicking object : 0
2020-06-09-19-20-15	dxl wait finish
2020-06-09-19-20-15	grip wait start
2020-06-09-19-20-15	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-20-15	repicking object : 0
2020-06-09-19-20-16	[offset] x:=16.233000,y:=-46.249000,z:=-348.000000
2020-06-09-19-20-16	repicking object : 0
2020-06-09-19-20-16	[offset] x:=16.509000,y:=-47.699000,z:=-347.000000
2020-06-09-19-20-16	repicking object : 0
2020-06-09-19-20-17	[offset] x:=18.591000,y:=-40.401000,z:=-351.000000
2020-06-09-19-20-17	repicking object : 0
2020-06-09-19-20-17	[offset] x:=17.361000,y:=-39.844000,z:=-349.000000
2020-06-09-19-20-17	repicking object : 0
2020-06-09-19-20-18	[offset] x:=16.865000,y:=-39.672000,z:=-350.000000
2020-06-09-19-20-18	repicking object : 0
2020-06-09-19-20-19	grip wait finish
2020-06-09-19-20-19	dxl wait start
2020-06-09-19-20-19	[offset] x:=16.793000,y:=-39.595000,z:=-350.000000
2020-06-09-19-20-19	repicking object : 0
2020-06-09-19-20-19	[offset] x:=17.029000,y:=-39.500000,z:=-351.000000
2020-06-09-19-20-19	repicking object : 0
2020-06-09-19-20-19	dxl wait finish
2020-06-09-19-20-19	dxl wait start
2020-06-09-19-20-20	[offset] x:=16.599000,y:=-39.627000,z:=-350.000000
2020-06-09-19-20-20	repicking object : 0
2020-06-09-19-20-20	[offset] x:=16.580000,y:=-39.663000,z:=-350.000000
2020-06-09-19-20-20	repicking object : 0
