2020-06-09-19-13-51	=============== Application Start ==============
2020-06-09-19-13-52	dxl wait start
2020-06-09-19-13-52	dxl wait finish
2020-06-09-19-13-52	dxl wait start
2020-06-09-19-13-53	dxl wait finish
2020-06-09-19-13-53	dxl wait start
2020-06-09-19-13-53	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-53	repicking object : 0
2020-06-09-19-13-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-54	repicking object : 0
2020-06-09-19-13-54	dxl wait finish
2020-06-09-19-13-54	grip wait start
2020-06-09-19-13-54	grip wait finish
2020-06-09-19-13-54	dxl wait start
2020-06-09-19-13-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-54	repicking object : 0
2020-06-09-19-13-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-54	repicking object : 0
2020-06-09-19-13-55	dxl wait finish
2020-06-09-19-13-55	dxl wait start
2020-06-09-19-13-55	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-55	repicking object : 0
2020-06-09-19-13-55	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-55	repicking object : 0
2020-06-09-19-13-55	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-55	repicking object : 0
2020-06-09-19-13-56	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-56	repicking object : 0
2020-06-09-19-13-56	dxl wait finish
2020-06-09-19-13-56	dxl wait start
2020-06-09-19-13-56	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-56	repicking object : 0
2020-06-09-19-13-56	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-56	repicking object : 0
2020-06-09-19-13-56	dxl wait finish
2020-06-09-19-13-56	grip wait start
2020-06-09-19-13-57	grip wait finish
2020-06-09-19-13-57	dxl wait start
2020-06-09-19-13-57	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-57	repicking object : 0
2020-06-09-19-13-57	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-57	repicking object : 0
2020-06-09-19-13-57	dxl wait finish
2020-06-09-19-13-57	dxl wait start
2020-06-09-19-13-57	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-57	repicking object : 0
2020-06-09-19-13-58	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-58	repicking object : 0
2020-06-09-19-13-58	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-58	repicking object : 0
2020-06-09-19-13-58	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-58	repicking object : 0
2020-06-09-19-13-58	dxl wait finish
2020-06-09-19-13-58	dxl wait start
2020-06-09-19-13-59	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-59	repicking object : 0
2020-06-09-19-13-59	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-59	repicking object : 0
2020-06-09-19-13-59	dxl wait finish
2020-06-09-19-13-59	grip wait start
2020-06-09-19-13-59	grip wait finish
2020-06-09-19-13-59	dxl wait start
2020-06-09-19-13-59	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-59	repicking object : 0
2020-06-09-19-14-00	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-14-00	repicking object : 0
2020-06-09-19-14-00	dxl wait finish
2020-06-09-19-14-00	dxl wait start
2020-06-09-19-14-00	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-14-00	repicking object : 0
2020-06-09-19-14-00	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-14-00	repicking object : 0
2020-06-09-19-14-01	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-14-01	repicking object : 0
