2020-06-09-18-55-48	=============== Application Start ==============
2020-06-09-18-55-49	dxl wait start
2020-06-09-18-55-49	dxl wait finish
2020-06-09-18-55-49	grip wait start
2020-06-09-18-55-49	grip wait finish
2020-06-09-18-55-49	dxl wait start
2020-06-09-18-55-50	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-50	repicking object : 0
2020-06-09-18-55-50	dxl wait finish
2020-06-09-18-55-50	dxl wait start
2020-06-09-18-55-50	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-50	repicking object : 0
2020-06-09-18-55-50	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-50	repicking object : 0
2020-06-09-18-55-51	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-51	repicking object : 0
2020-06-09-18-55-51	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-51	repicking object : 0
2020-06-09-18-55-51	dxl wait finish
2020-06-09-18-55-51	dxl wait start
2020-06-09-18-55-51	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-51	repicking object : 0
2020-06-09-18-55-52	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-52	repicking object : 0
2020-06-09-18-55-52	dxl wait finish
2020-06-09-18-55-52	grip wait start
2020-06-09-18-55-52	grip wait finish
2020-06-09-18-55-52	dxl wait start
2020-06-09-18-55-52	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-52	repicking object : 0
2020-06-09-18-55-52	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-52	repicking object : 0
2020-06-09-18-55-52	dxl wait finish
2020-06-09-18-55-52	dxl wait start
2020-06-09-18-55-53	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-53	repicking object : 0
2020-06-09-18-55-53	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-53	repicking object : 0
2020-06-09-18-55-53	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-53	repicking object : 0
2020-06-09-18-55-54	dxl wait finish
2020-06-09-18-55-54	dxl wait start
2020-06-09-18-55-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-54	repicking object : 0
2020-06-09-18-55-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-54	repicking object : 0
2020-06-09-18-55-54	dxl wait finish
2020-06-09-18-55-54	grip wait start
2020-06-09-18-55-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-55-54	repicking object : 0
2020-06-09-18-55-54	grip wait finish
2020-06-09-18-55-54	dxl wait start
