2020-06-09-19-11-21	=============== Application Start ==============
2020-06-09-19-11-22	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-22	repicking object : 0
2020-06-09-19-11-22	dxl wait start
2020-06-09-19-11-22	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-22	repicking object : 0
2020-06-09-19-11-23	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-23	repicking object : 0
2020-06-09-19-11-23	dxl wait finish
2020-06-09-19-11-23	dxl wait start
2020-06-09-19-11-23	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-23	repicking object : 0
2020-06-09-19-11-23	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-23	repicking object : 0
2020-06-09-19-11-24	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-24	repicking object : 0
2020-06-09-19-11-24	dxl wait finish
2020-06-09-19-11-24	dxl wait start
2020-06-09-19-11-24	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-24	repicking object : 0
2020-06-09-19-11-24	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-24	repicking object : 0
2020-06-09-19-11-24	dxl wait finish
2020-06-09-19-11-24	grip wait start
2020-06-09-19-11-24	grip wait finish
2020-06-09-19-11-24	dxl wait start
2020-06-09-19-11-25	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-25	repicking object : 0
2020-06-09-19-11-25	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-25	repicking object : 0
2020-06-09-19-11-25	dxl wait finish
2020-06-09-19-11-25	dxl wait start
2020-06-09-19-11-25	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-25	repicking object : 0
2020-06-09-19-11-26	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-26	repicking object : 0
2020-06-09-19-11-26	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-26	repicking object : 0
2020-06-09-19-11-26	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-26	repicking object : 0
2020-06-09-19-11-26	dxl wait finish
2020-06-09-19-11-26	dxl wait start
2020-06-09-19-11-26	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-26	repicking object : 0
2020-06-09-19-11-27	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-27	repicking object : 0
2020-06-09-19-11-27	dxl wait finish
2020-06-09-19-11-27	grip wait start
2020-06-09-19-11-27	grip wait finish
2020-06-09-19-11-27	dxl wait start
2020-06-09-19-11-27	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-27	repicking object : 0
2020-06-09-19-11-28	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-28	repicking object : 0
2020-06-09-19-11-28	dxl wait finish
2020-06-09-19-11-28	dxl wait start
2020-06-09-19-11-28	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-28	repicking object : 0
2020-06-09-19-11-28	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-28	repicking object : 0
2020-06-09-19-11-28	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-11-28	repicking object : 0
