2020-06-09-19-13-32	=============== Application Start ==============
2020-06-09-19-13-33	dxl wait start
2020-06-09-19-13-34	dxl wait finish
2020-06-09-19-13-34	dxl wait start
2020-06-09-19-13-34	dxl wait finish
2020-06-09-19-13-34	dxl wait start
2020-06-09-19-13-34	dxl wait finish
2020-06-09-19-13-34	grip wait start
2020-06-09-19-13-34	grip wait finish
2020-06-09-19-13-34	dxl wait start
2020-06-09-19-13-34	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-34	repicking object : 0
2020-06-09-19-13-35	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-35	repicking object : 0
2020-06-09-19-13-35	dxl wait finish
2020-06-09-19-13-35	dxl wait start
2020-06-09-19-13-35	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-35	repicking object : 0
2020-06-09-19-13-35	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-35	repicking object : 0
2020-06-09-19-13-36	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-36	repicking object : 0
2020-06-09-19-13-36	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-36	repicking object : 0
2020-06-09-19-13-36	dxl wait finish
2020-06-09-19-13-36	dxl wait start
2020-06-09-19-13-36	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-36	repicking object : 0
2020-06-09-19-13-37	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-37	repicking object : 0
2020-06-09-19-13-37	dxl wait finish
2020-06-09-19-13-37	grip wait start
2020-06-09-19-13-37	grip wait finish
2020-06-09-19-13-37	dxl wait start
2020-06-09-19-13-37	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-37	repicking object : 0
2020-06-09-19-13-37	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-37	repicking object : 0
2020-06-09-19-13-37	dxl wait finish
2020-06-09-19-13-37	dxl wait start
2020-06-09-19-13-38	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-38	repicking object : 0
2020-06-09-19-13-38	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-38	repicking object : 0
2020-06-09-19-13-38	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-38	repicking object : 0
2020-06-09-19-13-39	dxl wait finish
2020-06-09-19-13-39	dxl wait start
2020-06-09-19-13-39	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-39	repicking object : 0
2020-06-09-19-13-39	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-39	repicking object : 0
2020-06-09-19-13-39	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-39	repicking object : 0
2020-06-09-19-13-39	dxl wait finish
2020-06-09-19-13-39	grip wait start
2020-06-09-19-13-39	grip wait finish
2020-06-09-19-13-39	dxl wait start
2020-06-09-19-13-40	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-40	repicking object : 0
2020-06-09-19-13-40	dxl wait finish
2020-06-09-19-13-40	dxl wait start
2020-06-09-19-13-40	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-40	repicking object : 0
2020-06-09-19-13-40	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-40	repicking object : 0
2020-06-09-19-13-41	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-13-41	repicking object : 0
