2020-06-09-18-20-03	=============== Application Start ==============
2020-06-09-18-20-04	grip wait start
2020-06-09-18-20-04	grip wait finish
2020-06-09-18-20-04	dxl wait start
2020-06-09-18-20-05	dxl wait finish
2020-06-09-18-20-06	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-06	repicking object : 0
2020-06-09-18-20-07	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-07	repicking object : 0
2020-06-09-18-20-07	dxl wait start
2020-06-09-18-20-07	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-07	repicking object : 0
2020-06-09-18-20-08	dxl wait finish
2020-06-09-18-20-08	dxl wait start
2020-06-09-18-20-08	dxl wait finish
2020-06-09-18-20-08	grip wait start
2020-06-09-18-20-08	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-08	repicking object : 0
2020-06-09-18-20-09	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-09	repicking object : 0
2020-06-09-18-20-09	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-09	repicking object : 0
2020-06-09-18-20-10	grip wait finish
2020-06-09-18-20-10	dxl wait start
2020-06-09-18-20-10	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-10	repicking object : 0
2020-06-09-18-20-10	dxl wait finish
2020-06-09-18-20-10	grip wait start
2020-06-09-18-20-10	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-10	repicking object : 0
2020-06-09-18-20-11	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-11	repicking object : 0
2020-06-09-18-20-12	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-12	repicking object : 0
2020-06-09-18-20-13	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-13	repicking object : 0
2020-06-09-18-20-13	grip wait finish
2020-06-09-18-20-13	dxl wait start
2020-06-09-18-20-14	dxl wait finish
2020-06-09-18-20-14	dxl wait start
2020-06-09-18-20-14	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-14	repicking object : 0
2020-06-09-18-20-15	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-15	repicking object : 0
2020-06-09-18-20-15	dxl wait finish
2020-06-09-18-20-15	dxl wait start
2020-06-09-18-20-15	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-15	repicking object : 0
2020-06-09-18-20-16	dxl wait finish
2020-06-09-18-20-16	grip wait start
2020-06-09-18-20-16	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-16	repicking object : 0
2020-06-09-18-20-16	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-16	repicking object : 0
2020-06-09-18-20-17	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-17	repicking object : 0
2020-06-09-18-20-18	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-18	repicking object : 0
2020-06-09-18-20-19	grip wait finish
2020-06-09-18-20-19	dxl wait start
2020-06-09-18-20-19	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-19	repicking object : 0
2020-06-09-18-20-19	dxl wait finish
2020-06-09-18-20-19	dxl wait start
2020-06-09-18-20-20	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-20	repicking object : 0
2020-06-09-18-20-20	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-20-20	repicking object : 0
2020-06-09-18-20-21	dxl wait finish
2020-06-09-18-20-21	grip wait start
