2020-06-09-18-51-25	=============== Application Start ==============
2020-06-09-18-51-26	dxl wait start
2020-06-09-18-51-26	dxl wait finish
2020-06-09-18-51-26	grip wait start
2020-06-09-18-51-30	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-30	repicking object : 0
2020-06-09-18-51-30	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-30	repicking object : 0
2020-06-09-18-51-31	grip wait finish
2020-06-09-18-51-31	dxl wait start
2020-06-09-18-51-31	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-31	repicking object : 0
2020-06-09-18-51-31	dxl wait finish
2020-06-09-18-51-31	dxl wait start
2020-06-09-18-51-31	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-31	repicking object : 0
2020-06-09-18-51-32	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-32	repicking object : 0
2020-06-09-18-51-32	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-32	repicking object : 0
2020-06-09-18-51-32	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-32	repicking object : 0
2020-06-09-18-51-32	dxl wait finish
2020-06-09-18-51-32	dxl wait start
2020-06-09-18-51-33	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-33	repicking object : 0
2020-06-09-18-51-33	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-33	repicking object : 0
2020-06-09-18-51-33	dxl wait finish
2020-06-09-18-51-33	grip wait start
2020-06-09-18-51-33	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-33	repicking object : 0
2020-06-09-18-51-34	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-34	repicking object : 0
2020-06-09-18-51-34	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-34	repicking object : 0
2020-06-09-18-51-35	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-35	repicking object : 0
2020-06-09-18-51-36	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-36	repicking object : 0
2020-06-09-18-51-36	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-36	repicking object : 0
2020-06-09-18-51-37	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-37	repicking object : 0
2020-06-09-18-51-37	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-37	repicking object : 0
2020-06-09-18-51-37	grip wait finish
2020-06-09-18-51-37	dxl wait start
2020-06-09-18-51-38	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-38	repicking object : 0
2020-06-09-18-51-38	dxl wait finish
2020-06-09-18-51-38	dxl wait start
2020-06-09-18-51-38	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-38	repicking object : 0
2020-06-09-18-51-38	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-38	repicking object : 0
2020-06-09-18-51-39	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-39	repicking object : 0
2020-06-09-18-51-39	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-51-39	repicking object : 0
