2020-06-09-19-38-00	=============== Application Start ==============
2020-06-09-19-38-01	[offset] x:=15.527000,y:=7.162000,z:=-176.000000
2020-06-09-19-38-01	repicking object : 1
2020-06-09-19-38-01	dxl wait start
2020-06-09-19-38-01	[offset] x:=15.561000,y:=7.165000,z:=-176.000000
2020-06-09-19-38-01	repicking object : 1
2020-06-09-19-38-01	dxl wait finish
2020-06-09-19-38-01	dxl wait start
2020-06-09-19-38-01	dxl wait finish
2020-06-09-19-38-01	dxl wait start
2020-06-09-19-38-02	[offset] x:=15.220000,y:=6.914000,z:=-176.000000
2020-06-09-19-38-02	repicking object : 1
2020-06-09-19-38-02	[offset] x:=15.270000,y:=6.928000,z:=-176.000000
2020-06-09-19-38-02	repicking object : 1
2020-06-09-19-38-02	dxl wait finish
2020-06-09-19-38-02	grip wait start
2020-06-09-19-38-02	[offset] x:=15.089000,y:=6.929000,z:=-176.000000
2020-06-09-19-38-02	repicking object : 1
2020-06-09-19-38-02	grip wait finish
2020-06-09-19-38-02	dxl wait start
2020-06-09-19-38-03	[offset] x:=15.702000,y:=7.286000,z:=-176.000000
2020-06-09-19-38-03	repicking object : 1
2020-06-09-19-38-03	dxl wait finish
2020-06-09-19-38-03	dxl wait start
2020-06-09-19-38-03	[offset] x:=15.129000,y:=6.859000,z:=-176.000000
2020-06-09-19-38-03	repicking object : 1
2020-06-09-19-38-04	[offset] x:=15.218000,y:=6.891000,z:=-176.000000
2020-06-09-19-38-04	repicking object : 1
2020-06-09-19-38-04	[offset] x:=15.284000,y:=6.994000,z:=-176.000000
2020-06-09-19-38-04	repicking object : 1
2020-06-09-19-38-04	[offset] x:=15.628000,y:=7.118000,z:=-176.000000
2020-06-09-19-38-04	repicking object : 1
2020-06-09-19-38-04	dxl wait finish
2020-06-09-19-38-04	dxl wait start
2020-06-09-19-38-04	[offset] x:=15.389000,y:=6.924000,z:=-176.000000
2020-06-09-19-38-04	repicking object : 1
2020-06-09-19-38-05	[offset] x:=15.309000,y:=6.931000,z:=-176.000000
2020-06-09-19-38-05	repicking object : 1
2020-06-09-19-38-05	dxl wait finish
2020-06-09-19-38-05	grip wait start
2020-06-09-19-38-05	[offset] x:=14.998000,y:=6.669000,z:=-176.000000
2020-06-09-19-38-05	repicking object : 1
2020-06-09-19-38-05	grip wait finish
2020-06-09-19-38-05	dxl wait start
2020-06-09-19-38-06	[offset] x:=15.590000,y:=7.182000,z:=-176.000000
2020-06-09-19-38-06	repicking object : 1
2020-06-09-19-38-06	dxl wait finish
2020-06-09-19-38-06	dxl wait start
2020-06-09-19-38-06	[offset] x:=15.234000,y:=6.900000,z:=-176.000000
2020-06-09-19-38-06	repicking object : 1
2020-06-09-19-38-06	[offset] x:=15.213000,y:=6.892000,z:=-176.000000
2020-06-09-19-38-06	repicking object : 1
2020-06-09-19-38-07	[offset] x:=15.282000,y:=6.987000,z:=-176.000000
2020-06-09-19-38-07	repicking object : 1
2020-06-09-19-38-07	[offset] x:=15.493000,y:=7.264000,z:=-176.000000
2020-06-09-19-38-07	repicking object : 1
2020-06-09-19-38-07	dxl wait finish
2020-06-09-19-38-07	dxl wait start
2020-06-09-19-38-07	[offset] x:=15.383000,y:=6.915000,z:=-176.000000
2020-06-09-19-38-07	repicking object : 1
2020-06-09-19-38-08	[offset] x:=15.478000,y:=6.948000,z:=-176.000000
2020-06-09-19-38-08	repicking object : 1
2020-06-09-19-38-08	dxl wait finish
2020-06-09-19-38-08	grip wait start
2020-06-09-19-38-08	[offset] x:=15.125000,y:=6.745000,z:=-176.000000
2020-06-09-19-38-08	repicking object : 1
2020-06-09-19-38-08	grip wait finish
2020-06-09-19-38-08	dxl wait start
2020-06-09-19-38-09	[offset] x:=15.572000,y:=7.133000,z:=-176.000000
2020-06-09-19-38-09	repicking object : 1
2020-06-09-19-38-09	dxl wait finish
2020-06-09-19-38-09	dxl wait start
2020-06-09-19-38-09	[offset] x:=15.309000,y:=6.998000,z:=-176.000000
2020-06-09-19-38-09	repicking object : 1
2020-06-09-19-38-09	[offset] x:=15.264000,y:=6.941000,z:=-176.000000
2020-06-09-19-38-09	repicking object : 1
2020-06-09-19-38-10	[offset] x:=15.312000,y:=6.997000,z:=-176.000000
2020-06-09-19-38-10	repicking object : 1
2020-06-09-19-38-10	[offset] x:=15.591000,y:=7.079000,z:=-176.000000
2020-06-09-19-38-10	repicking object : 1
2020-06-09-19-38-10	dxl wait finish
2020-06-09-19-38-10	dxl wait start
2020-06-09-19-38-10	[offset] x:=15.346000,y:=6.896000,z:=-176.000000
2020-06-09-19-38-10	repicking object : 1
2020-06-09-19-38-11	[offset] x:=15.334000,y:=6.966000,z:=-176.000000
2020-06-09-19-38-11	repicking object : 1
2020-06-09-19-38-11	dxl wait finish
2020-06-09-19-38-11	grip wait start
2020-06-09-19-38-11	[offset] x:=15.050000,y:=6.718000,z:=-176.000000
2020-06-09-19-38-11	repicking object : 1
2020-06-09-19-38-11	grip wait finish
2020-06-09-19-38-11	dxl wait start
2020-06-09-19-38-11	[offset] x:=15.540000,y:=7.162000,z:=-176.000000
2020-06-09-19-38-11	repicking object : 1
2020-06-09-19-38-12	dxl wait finish
2020-06-09-19-38-12	dxl wait start
2020-06-09-19-38-12	[offset] x:=15.233000,y:=6.940000,z:=-176.000000
2020-06-09-19-38-12	repicking object : 1
2020-06-09-19-38-12	[offset] x:=15.238000,y:=6.912000,z:=-176.000000
2020-06-09-19-38-12	repicking object : 1
2020-06-09-19-38-12	[offset] x:=15.204000,y:=7.007000,z:=-176.000000
2020-06-09-19-38-12	repicking object : 1
