2020-06-09-19-18-24	=============== Application Start ==============
2020-06-09-19-18-25	dxl wait start
2020-06-09-19-18-25	[offset] x:=40.893000,y:=-48.863000,z:=-1.000000
2020-06-09-19-18-25	repicking object : 0
2020-06-09-19-18-25	dxl wait finish
2020-06-09-19-18-25	dxl wait start
2020-06-09-19-18-25	dxl wait finish
2020-06-09-19-18-25	dxl wait start
2020-06-09-19-18-25	[offset] x:=40.940000,y:=-48.638000,z:=-2.000000
2020-06-09-19-18-25	repicking object : 0
2020-06-09-19-18-26	[offset] x:=40.923000,y:=-49.321000,z:=-2.000000
2020-06-09-19-18-26	repicking object : 0
2020-06-09-19-18-26	dxl wait finish
2020-06-09-19-18-26	grip wait start
2020-06-09-19-18-26	[offset] x:=40.934000,y:=-49.261000,z:=-2.000000
2020-06-09-19-18-26	repicking object : 0
2020-06-09-19-18-27	[offset] x:=40.951000,y:=-48.373000,z:=-1.000000
2020-06-09-19-18-27	repicking object : 0
2020-06-09-19-18-27	[offset] x:=40.859000,y:=-48.788000,z:=-1.000000
2020-06-09-19-18-27	repicking object : 0
2020-06-09-19-18-27	grip wait finish
2020-06-09-19-18-27	dxl wait start
2020-06-09-19-18-28	[offset] x:=40.886000,y:=-48.617000,z:=-1.000000
2020-06-09-19-18-28	repicking object : 0
2020-06-09-19-18-28	dxl wait finish
2020-06-09-19-18-28	dxl wait start
2020-06-09-19-18-28	[offset] x:=40.928000,y:=-48.835000,z:=-2.000000
2020-06-09-19-18-28	repicking object : 0
2020-06-09-19-18-29	[offset] x:=40.832000,y:=-48.867000,z:=-1.000000
2020-06-09-19-18-29	repicking object : 0
2020-06-09-19-18-29	[offset] x:=40.923000,y:=-49.408000,z:=-1.000000
2020-06-09-19-18-29	repicking object : 0
2020-06-09-19-18-29	[offset] x:=40.949000,y:=-48.777000,z:=-1.000000
2020-06-09-19-18-29	repicking object : 0
2020-06-09-19-18-29	dxl wait finish
2020-06-09-19-18-29	dxl wait start
2020-06-09-19-18-29	[offset] x:=40.789000,y:=-48.978000,z:=-2.000000
2020-06-09-19-18-29	repicking object : 0
2020-06-09-19-18-30	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-18-30	repicking object : 0
2020-06-09-19-18-30	dxl wait finish
2020-06-09-19-18-30	grip wait start
2020-06-09-19-18-30	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-18-30	repicking object : 0
2020-06-09-19-18-31	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-18-31	repicking object : 0
2020-06-09-19-18-32	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-18-32	repicking object : 0
2020-06-09-19-18-32	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-18-32	repicking object : 0
2020-06-09-19-18-33	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-18-33	repicking object : 0
2020-06-09-19-18-33	grip wait finish
2020-06-09-19-18-33	dxl wait start
2020-06-09-19-18-33	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-18-33	repicking object : 0
2020-06-09-19-18-34	dxl wait finish
2020-06-09-19-18-34	dxl wait start
2020-06-09-19-18-34	[offset] x:=34.295000,y:=-9.987000,z:=-332.000000
2020-06-09-19-18-34	repicking object : 0
2020-06-09-19-18-34	[offset] x:=34.201000,y:=-9.867000,z:=-333.000000
2020-06-09-19-18-34	repicking object : 0
2020-06-09-19-18-34	[offset] x:=34.731000,y:=-9.959000,z:=-333.000000
2020-06-09-19-18-34	repicking object : 0
2020-06-09-19-18-35	[offset] x:=34.244000,y:=-10.268000,z:=-332.000000
2020-06-09-19-18-35	repicking object : 0
2020-06-09-19-18-35	dxl wait finish
2020-06-09-19-18-35	dxl wait start
2020-06-09-19-18-35	[offset] x:=33.607000,y:=-10.303000,z:=-332.000000
2020-06-09-19-18-35	repicking object : 0
2020-06-09-19-18-35	dxl wait finish
2020-06-09-19-18-35	grip wait start
2020-06-09-19-18-35	[offset] x:=33.771000,y:=-10.380000,z:=-332.000000
2020-06-09-19-18-35	repicking object : 0
2020-06-09-19-18-36	[offset] x:=34.071000,y:=-10.512000,z:=-334.000000
2020-06-09-19-18-36	repicking object : 0
2020-06-09-19-18-36	grip wait finish
2020-06-09-19-18-36	dxl wait start
2020-06-09-19-18-36	[offset] x:=32.443000,y:=-11.470000,z:=-330.000000
2020-06-09-19-18-36	repicking object : 0
2020-06-09-19-18-37	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-18-37	repicking object : 0
2020-06-09-19-18-37	dxl wait finish
2020-06-09-19-18-37	dxl wait start
2020-06-09-19-18-37	[offset] x:=31.333000,y:=-5.479000,z:=-308.000000
2020-06-09-19-18-37	repicking object : 0
2020-06-09-19-18-38	[offset] x:=31.448000,y:=-5.369000,z:=-307.000000
2020-06-09-19-18-38	repicking object : 0
2020-06-09-19-18-38	[offset] x:=31.600000,y:=-5.082000,z:=-307.000000
2020-06-09-19-18-38	repicking object : 0
2020-06-09-19-18-38	dxl wait finish
2020-06-09-19-18-38	dxl wait start
2020-06-09-19-18-38	[offset] x:=31.506000,y:=-5.232000,z:=-307.000000
2020-06-09-19-18-38	repicking object : 0
2020-06-09-19-18-39	[offset] x:=31.240000,y:=-5.219000,z:=-308.000000
2020-06-09-19-18-39	repicking object : 0
2020-06-09-19-18-39	dxl wait finish
2020-06-09-19-18-39	grip wait start
2020-06-09-19-18-39	[offset] x:=31.415000,y:=-5.865000,z:=-308.000000
2020-06-09-19-18-39	repicking object : 0
2020-06-09-19-18-39	[offset] x:=31.657000,y:=-5.220000,z:=-308.000000
2020-06-09-19-18-39	repicking object : 0
2020-06-09-19-18-40	grip wait finish
2020-06-09-19-18-40	dxl wait start
2020-06-09-19-18-40	[offset] x:=34.763000,y:=-4.346000,z:=-308.000000
2020-06-09-19-18-40	repicking object : 0
2020-06-09-19-18-40	[offset] x:=28.656000,y:=-6.344000,z:=-308.000000
2020-06-09-19-18-40	repicking object : 0
2020-06-09-19-18-40	dxl wait finish
2020-06-09-19-18-40	dxl wait start
2020-06-09-19-18-41	[offset] x:=30.261000,y:=-5.130000,z:=-308.000000
2020-06-09-19-18-41	repicking object : 0
2020-06-09-19-18-41	[offset] x:=30.339000,y:=-4.587000,z:=-308.000000
2020-06-09-19-18-41	repicking object : 0
2020-06-09-19-18-41	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-18-41	repicking object : 0
2020-06-09-19-18-42	dxl wait finish
2020-06-09-19-18-42	dxl wait start
2020-06-09-19-18-42	[offset] x:=25.680000,y:=-6.510000,z:=-358.000000
2020-06-09-19-18-42	repicking object : 0
2020-06-09-19-18-42	[offset] x:=24.335000,y:=-2.216000,z:=-1.000000
2020-06-09-19-18-42	repicking object : 0
2020-06-09-19-18-42	dxl wait finish
2020-06-09-19-18-42	grip wait start
2020-06-09-19-18-42	[offset] x:=26.549000,y:=-0.792000,z:=-360.000000
2020-06-09-19-18-42	repicking object : 0
