2020-06-09-18-22-39	=============== Application Start ==============
2020-06-09-18-22-40	dxl wait start
2020-06-09-18-22-41	dxl wait finish
2020-06-09-18-22-41	grip wait start
2020-06-09-18-22-43	[offset] x:=20.459000,y:=5.144000,z:=-178.000000
2020-06-09-18-22-43	repicking object : 1
2020-06-09-18-22-44	[offset] x:=16.620000,y:=4.845000,z:=-177.000000
2020-06-09-18-22-44	repicking object : 1
2020-06-09-18-22-44	grip wait finish
2020-06-09-18-22-44	dxl wait start
2020-06-09-18-22-44	[offset] x:=15.310000,y:=4.323000,z:=-176.000000
2020-06-09-18-22-44	repicking object : 1
2020-06-09-18-22-44	dxl wait finish
2020-06-09-18-22-44	dxl wait start
2020-06-09-18-22-45	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-22-45	repicking object : 0
2020-06-09-18-22-45	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-22-45	repicking object : 0
2020-06-09-18-22-45	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-22-45	repicking object : 0
2020-06-09-18-22-45	dxl wait finish
2020-06-09-18-22-45	dxl wait start
2020-06-09-18-22-46	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-22-46	repicking object : 0
2020-06-09-18-22-46	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-22-46	repicking object : 0
2020-06-09-18-22-46	dxl wait finish
2020-06-09-18-22-46	grip wait start
2020-06-09-18-22-46	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-22-46	repicking object : 0
2020-06-09-18-22-47	[offset] x:=14.289000,y:=9.951000,z:=-359.000000
2020-06-09-18-22-47	repicking object : 0
2020-06-09-18-22-48	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-22-48	repicking object : 0
2020-06-09-18-22-48	[offset] x:=17.793000,y:=6.366000,z:=-359.000000
2020-06-09-18-22-48	repicking object : 0
2020-06-09-18-22-49	[offset] x:=16.831000,y:=6.783000,z:=-359.000000
2020-06-09-18-22-49	repicking object : 0
2020-06-09-18-22-49	grip wait finish
2020-06-09-18-22-49	dxl wait start
2020-06-09-18-22-49	[offset] x:=16.810000,y:=6.899000,z:=-359.000000
2020-06-09-18-22-49	repicking object : 0
2020-06-09-18-22-50	[offset] x:=18.892000,y:=5.622000,z:=-360.000000
2020-06-09-18-22-50	repicking object : 0
2020-06-09-18-22-50	dxl wait finish
2020-06-09-18-22-50	dxl wait start
2020-06-09-18-22-50	[offset] x:=16.553000,y:=6.375000,z:=-359.000000
2020-06-09-18-22-50	repicking object : 0
2020-06-09-18-22-50	[offset] x:=16.476000,y:=6.491000,z:=-359.000000
2020-06-09-18-22-50	repicking object : 0
2020-06-09-18-22-51	[offset] x:=16.607000,y:=6.355000,z:=-359.000000
2020-06-09-18-22-51	repicking object : 0
2020-06-09-18-22-51	[offset] x:=16.589000,y:=6.373000,z:=-359.000000
2020-06-09-18-22-51	repicking object : 0
2020-06-09-18-22-51	dxl wait finish
2020-06-09-18-22-51	dxl wait start
2020-06-09-18-22-51	[offset] x:=16.649000,y:=6.460000,z:=-359.000000
2020-06-09-18-22-51	repicking object : 0
2020-06-09-18-22-52	[offset] x:=16.693000,y:=6.381000,z:=-359.000000
