2020-06-09-18-35-13	=============== Application Start ==============
2020-06-09-18-35-14	dxl wait start
2020-06-09-18-35-14	dxl wait finish
2020-06-09-18-35-14	grip wait start
2020-06-09-18-35-15	[offset] x:=19.587000,y:=-59.367000,z:=-182.000000
2020-06-09-18-35-15	repicking object : 1
2020-06-09-18-35-15	[offset] x:=19.684000,y:=-59.332000,z:=-182.000000
2020-06-09-18-35-15	repicking object : 1
2020-06-09-18-35-16	[offset] x:=19.706000,y:=-59.362000,z:=-182.000000
2020-06-09-18-35-16	repicking object : 1
2020-06-09-18-35-16	[offset] x:=19.743000,y:=-59.387000,z:=-182.000000
2020-06-09-18-35-16	repicking object : 1
2020-06-09-18-35-17	[offset] x:=19.587000,y:=-59.332000,z:=-182.000000
2020-06-09-18-35-17	repicking object : 1
2020-06-09-18-35-17	[offset] x:=17.790000,y:=-60.646000,z:=-179.000000
2020-06-09-18-35-17	repicking object : 1
2020-06-09-18-35-18	grip wait finish
2020-06-09-18-35-18	dxl wait start
2020-06-09-18-35-18	dxl wait finish
2020-06-09-18-35-18	dxl wait start
2020-06-09-18-35-18	[offset] x:=14.897000,y:=-62.519000,z:=-176.000000
2020-06-09-18-35-18	repicking object : 1
2020-06-09-18-35-18	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-18	repicking object : 0
2020-06-09-18-35-19	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-19	repicking object : 0
2020-06-09-18-35-19	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-19	repicking object : 0
2020-06-09-18-35-19	dxl wait finish
2020-06-09-18-35-19	dxl wait start
2020-06-09-18-35-19	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-19	repicking object : 0
2020-06-09-18-35-20	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-20	repicking object : 0
2020-06-09-18-35-20	dxl wait finish
2020-06-09-18-35-20	grip wait start
2020-06-09-18-35-20	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-20	repicking object : 0
2020-06-09-18-35-21	[offset] x:=16.437000,y:=-58.785000,z:=-359.000000
2020-06-09-18-35-21	repicking object : 0
2020-06-09-18-35-22	[offset] x:=20.032000,y:=-56.087000,z:=-2.000000
2020-06-09-18-35-22	repicking object : 0
2020-06-09-18-35-22	[offset] x:=18.835000,y:=-55.752000,z:=-2.000000
2020-06-09-18-35-22	repicking object : 0
2020-06-09-18-35-23	[offset] x:=18.918000,y:=-55.722000,z:=-2.000000
2020-06-09-18-35-23	repicking object : 0
2020-06-09-18-35-23	grip wait finish
2020-06-09-18-35-23	dxl wait start
2020-06-09-18-35-23	[offset] x:=18.806000,y:=-55.632000,z:=-1.000000
2020-06-09-18-35-23	repicking object : 0
2020-06-09-18-35-24	[offset] x:=18.320000,y:=-56.355000,z:=-2.000000
2020-06-09-18-35-24	repicking object : 0
2020-06-09-18-35-24	dxl wait finish
2020-06-09-18-35-24	dxl wait start
2020-06-09-18-35-24	[offset] x:=18.469000,y:=-55.866000,z:=-2.000000
2020-06-09-18-35-24	repicking object : 0
2020-06-09-18-35-24	[offset] x:=18.504000,y:=-55.534000,z:=-2.000000
2020-06-09-18-35-24	repicking object : 0
2020-06-09-18-35-25	[offset] x:=18.838000,y:=-55.892000,z:=-2.000000
2020-06-09-18-35-25	repicking object : 0
2020-06-09-18-35-25	dxl wait finish
2020-06-09-18-35-25	dxl wait start
2020-06-09-18-35-25	[offset] x:=18.505000,y:=-55.694000,z:=-2.000000
2020-06-09-18-35-25	repicking object : 0
2020-06-09-18-35-25	[offset] x:=18.507000,y:=-55.823000,z:=-2.000000
2020-06-09-18-35-25	repicking object : 0
2020-06-09-18-35-25	dxl wait finish
2020-06-09-18-35-25	grip wait start
2020-06-09-18-35-26	[offset] x:=18.615000,y:=-55.953000,z:=-2.000000
2020-06-09-18-35-26	repicking object : 0
2020-06-09-18-35-26	[offset] x:=19.412000,y:=-56.025000,z:=-3.000000
2020-06-09-18-35-26	repicking object : 0
2020-06-09-18-35-27	[offset] x:=18.842000,y:=-55.644000,z:=-1.000000
2020-06-09-18-35-27	repicking object : 0
2020-06-09-18-35-27	[offset] x:=18.775000,y:=-55.413000,z:=-2.000000
2020-06-09-18-35-27	repicking object : 0
2020-06-09-18-35-28	[offset] x:=18.764000,y:=-55.441000,z:=-2.000000
2020-06-09-18-35-28	repicking object : 0
2020-06-09-18-35-29	grip wait finish
2020-06-09-18-35-29	dxl wait start
2020-06-09-18-35-29	[offset] x:=16.672000,y:=-55.195000,z:=-2.000000
2020-06-09-18-35-29	repicking object : 0
2020-06-09-18-35-29	dxl wait finish
2020-06-09-18-35-29	dxl wait start
2020-06-09-18-35-29	[offset] x:=11.316000,y:=-57.064000,z:=-0.000000
2020-06-09-18-35-29	repicking object : 0
2020-06-09-18-35-30	[offset] x:=12.580000,y:=-56.226000,z:=-0.000000
2020-06-09-18-35-30	repicking object : 0
2020-06-09-18-35-30	[offset] x:=12.575000,y:=-56.349000,z:=-0.000000
2020-06-09-18-35-30	repicking object : 0
2020-06-09-18-35-30	[offset] x:=12.649000,y:=-56.240000,z:=-0.000000
2020-06-09-18-35-30	repicking object : 0
2020-06-09-18-35-30	dxl wait finish
2020-06-09-18-35-30	dxl wait start
2020-06-09-18-35-31	[offset] x:=12.567000,y:=-56.229000,z:=-0.000000
2020-06-09-18-35-31	repicking object : 0
2020-06-09-18-35-31	[offset] x:=12.550000,y:=-56.275000,z:=-0.000000
2020-06-09-18-35-31	repicking object : 0
2020-06-09-18-35-31	dxl wait finish
2020-06-09-18-35-31	grip wait start
2020-06-09-18-35-31	[offset] x:=11.891000,y:=-56.231000,z:=-360.000000
2020-06-09-18-35-31	repicking object : 0
2020-06-09-18-35-32	[offset] x:=12.055000,y:=-57.283000,z:=-3.000000
2020-06-09-18-35-32	repicking object : 0
2020-06-09-18-35-33	[offset] x:=7.836000,y:=-57.786000,z:=-4.000000
2020-06-09-18-35-33	repicking object : 0
2020-06-09-18-35-33	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-33	repicking object : 0
2020-06-09-18-35-34	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-34	repicking object : 0
2020-06-09-18-35-34	grip wait finish
2020-06-09-18-35-34	dxl wait start
2020-06-09-18-35-34	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-34	repicking object : 0
2020-06-09-18-35-35	dxl wait finish
2020-06-09-18-35-35	dxl wait start
2020-06-09-18-35-35	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-35	repicking object : 0
2020-06-09-18-35-35	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-35	repicking object : 0
2020-06-09-18-35-35	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-35	repicking object : 0
2020-06-09-18-35-36	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-36	repicking object : 0
2020-06-09-18-35-36	dxl wait finish
2020-06-09-18-35-36	dxl wait start
2020-06-09-18-35-36	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-36	repicking object : 0
2020-06-09-18-35-36	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-36	repicking object : 0
2020-06-09-18-35-37	dxl wait finish
2020-06-09-18-35-37	grip wait start
2020-06-09-18-35-37	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-37	repicking object : 0
2020-06-09-18-35-37	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-37	repicking object : 0
2020-06-09-18-35-38	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-38	repicking object : 0
2020-06-09-18-35-39	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-39	repicking object : 0
2020-06-09-18-35-39	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-39	repicking object : 0
2020-06-09-18-35-40	grip wait finish
2020-06-09-18-35-40	dxl wait start
2020-06-09-18-35-40	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-40	repicking object : 0
2020-06-09-18-35-40	dxl wait finish
2020-06-09-18-35-40	dxl wait start
2020-06-09-18-35-40	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-40	repicking object : 0
2020-06-09-18-35-41	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-41	repicking object : 0
2020-06-09-18-35-41	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-41	repicking object : 0
2020-06-09-18-35-41	dxl wait finish
2020-06-09-18-35-41	dxl wait start
2020-06-09-18-35-41	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-41	repicking object : 0
2020-06-09-18-35-42	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-42	repicking object : 0
2020-06-09-18-35-42	dxl wait finish
2020-06-09-18-35-42	grip wait start
2020-06-09-18-35-42	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-42	repicking object : 0
2020-06-09-18-35-43	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-35-43	repicking object : 0
