2020-06-09-19-22-39	=============== Application Start ==============
2020-06-09-19-22-54	[offset] x:=20.663000,y:=-66.457000,z:=-171.000000
2020-06-09-19-22-54	repicking object : 1
2020-06-09-19-22-55	[offset] x:=20.571000,y:=-66.636000,z:=-171.000000
2020-06-09-19-22-55	repicking object : 1
2020-06-09-19-22-55	[offset] x:=20.726000,y:=-66.339000,z:=-171.000000
2020-06-09-19-22-55	repicking object : 1
2020-06-09-19-22-56	[offset] x:=20.696000,y:=-66.327000,z:=-171.000000
2020-06-09-19-22-56	repicking object : 1
2020-06-09-19-22-56	grip wait finish
2020-06-09-19-22-56	dxl wait start
2020-06-09-19-22-57	[offset] x:=16.571000,y:=-66.768000,z:=-171.000000
2020-06-09-19-22-57	repicking object : 1
2020-06-09-19-22-57	dxl wait finish
2020-06-09-19-22-57	dxl wait start
2020-06-09-19-22-57	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-22-57	repicking object : 0
2020-06-09-19-22-57	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-22-57	repicking object : 0
2020-06-09-19-22-58	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-22-58	repicking object : 0
2020-06-09-19-22-58	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-22-58	repicking object : 0
2020-06-09-19-22-58	dxl wait finish
2020-06-09-19-22-58	dxl wait start
2020-06-09-19-22-58	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-22-58	repicking object : 0
2020-06-09-19-22-59	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-22-59	repicking object : 0
2020-06-09-19-22-59	dxl wait finish
2020-06-09-19-22-59	grip wait start
2020-06-09-19-22-59	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-22-59	repicking object : 0
2020-06-09-19-23-00	[offset] x:=14.252000,y:=-62.659000,z:=-5.000000
2020-06-09-19-23-00	repicking object : 0
2020-06-09-19-23-00	[offset] x:=20.205000,y:=-64.492000,z:=-4.000000
2020-06-09-19-23-00	repicking object : 0
2020-06-09-19-23-01	[offset] x:=19.508000,y:=-63.406000,z:=-4.000000
2020-06-09-19-23-01	repicking object : 0
2020-06-09-19-23-01	[offset] x:=18.666000,y:=-62.674000,z:=-2.000000
2020-06-09-19-23-01	repicking object : 0
2020-06-09-19-23-02	[offset] x:=18.623000,y:=-63.051000,z:=-3.000000
2020-06-09-19-23-02	repicking object : 0
2020-06-09-19-23-02	[offset] x:=18.638000,y:=-63.109000,z:=-3.000000
2020-06-09-19-23-02	repicking object : 0
2020-06-09-19-23-03	grip wait finish
2020-06-09-19-23-03	dxl wait start
2020-06-09-19-23-03	[offset] x:=18.686000,y:=-62.621000,z:=-3.000000
2020-06-09-19-23-03	repicking object : 0
2020-06-09-19-23-03	dxl wait finish
2020-06-09-19-23-03	dxl wait start
2020-06-09-19-23-03	[offset] x:=18.368000,y:=-62.994000,z:=-3.000000
2020-06-09-19-23-03	repicking object : 0
2020-06-09-19-23-04	[offset] x:=18.386000,y:=-62.916000,z:=-3.000000
2020-06-09-19-23-04	repicking object : 0
2020-06-09-19-23-04	[offset] x:=18.568000,y:=-63.068000,z:=-2.000000
2020-06-09-19-23-04	repicking object : 0
2020-06-09-19-23-04	dxl wait finish
2020-06-09-19-23-04	dxl wait start
2020-06-09-19-23-04	[offset] x:=18.349000,y:=-63.053000,z:=-3.000000
2020-06-09-19-23-04	repicking object : 0
2020-06-09-19-23-05	[offset] x:=18.398000,y:=-62.896000,z:=-3.000000
2020-06-09-19-23-05	repicking object : 0
2020-06-09-19-23-05	dxl wait finish
2020-06-09-19-23-05	grip wait start
2020-06-09-19-23-05	[offset] x:=18.388000,y:=-63.097000,z:=-3.000000
2020-06-09-19-23-05	repicking object : 0
2020-06-09-19-23-05	[offset] x:=19.598000,y:=-63.746000,z:=-2.000000
2020-06-09-19-23-05	repicking object : 0
2020-06-09-19-23-06	[offset] x:=18.637000,y:=-62.634000,z:=-3.000000
2020-06-09-19-23-06	repicking object : 0
2020-06-09-19-23-07	[offset] x:=18.652000,y:=-63.088000,z:=-3.000000
2020-06-09-19-23-07	repicking object : 0
2020-06-09-19-23-07	grip wait finish
2020-06-09-19-23-07	dxl wait start
2020-06-09-19-23-07	[offset] x:=18.906000,y:=-62.937000,z:=-3.000000
2020-06-09-19-23-07	repicking object : 0
2020-06-09-19-23-08	dxl wait finish
2020-06-09-19-23-08	dxl wait start
2020-06-09-19-23-08	[offset] x:=18.216000,y:=-63.106000,z:=-2.000000
2020-06-09-19-23-08	repicking object : 0
2020-06-09-19-23-08	[offset] x:=18.389000,y:=-63.006000,z:=-3.000000
2020-06-09-19-23-08	repicking object : 0
2020-06-09-19-23-08	[offset] x:=18.438000,y:=-63.074000,z:=-3.000000
2020-06-09-19-23-08	repicking object : 0
2020-06-09-19-23-09	[offset] x:=18.516000,y:=-62.960000,z:=-3.000000
2020-06-09-19-23-09	repicking object : 0
2020-06-09-19-23-09	dxl wait finish
2020-06-09-19-23-09	dxl wait start
2020-06-09-19-23-09	[offset] x:=18.408000,y:=-63.122000,z:=-3.000000
2020-06-09-19-23-09	repicking object : 0
2020-06-09-19-23-09	[offset] x:=18.443000,y:=-62.992000,z:=-3.000000
2020-06-09-19-23-09	repicking object : 0
2020-06-09-19-23-10	dxl wait finish
2020-06-09-19-23-10	grip wait start
2020-06-09-19-23-10	[offset] x:=18.365000,y:=-63.100000,z:=-3.000000
2020-06-09-19-23-10	repicking object : 0
2020-06-09-19-23-10	[offset] x:=20.465000,y:=-64.039000,z:=-4.000000
2020-06-09-19-23-10	repicking object : 0
2020-06-09-19-23-11	[offset] x:=18.671000,y:=-63.094000,z:=-3.000000
2020-06-09-19-23-11	repicking object : 0
2020-06-09-19-23-12	[offset] x:=18.731000,y:=-63.043000,z:=-3.000000
2020-06-09-19-23-12	repicking object : 0
2020-06-09-19-23-12	grip wait finish
2020-06-09-19-23-12	dxl wait start
2020-06-09-19-23-12	[offset] x:=18.700000,y:=-62.627000,z:=-3.000000
2020-06-09-19-23-12	repicking object : 0
2020-06-09-19-23-12	dxl wait finish
2020-06-09-19-23-12	dxl wait start
2020-06-09-19-23-12	[offset] x:=18.378000,y:=-63.013000,z:=-3.000000
2020-06-09-19-23-12	repicking object : 0
2020-06-09-19-23-13	[offset] x:=18.336000,y:=-62.927000,z:=-2.000000
2020-06-09-19-23-13	repicking object : 0
2020-06-09-19-23-13	[offset] x:=18.500000,y:=-63.090000,z:=-3.000000
2020-06-09-19-23-13	repicking object : 0
2020-06-09-19-23-13	[offset] x:=18.530000,y:=-63.167000,z:=-3.000000
2020-06-09-19-23-13	repicking object : 0
2020-06-09-19-23-13	dxl wait finish
2020-06-09-19-23-13	dxl wait start
2020-06-09-19-23-14	[offset] x:=18.357000,y:=-62.842000,z:=-3.000000
2020-06-09-19-23-14	repicking object : 0
2020-06-09-19-23-14	[offset] x:=18.347000,y:=-62.991000,z:=-3.000000
2020-06-09-19-23-14	repicking object : 0
2020-06-09-19-23-14	dxl wait finish
2020-06-09-19-23-14	grip wait start
2020-06-09-19-23-14	[offset] x:=18.510000,y:=-63.924000,z:=-3.000000
2020-06-09-19-23-14	repicking object : 0
2020-06-09-19-23-15	[offset] x:=18.647000,y:=-62.619000,z:=-3.000000
2020-06-09-19-23-15	repicking object : 0
2020-06-09-19-23-15	[offset] x:=18.668000,y:=-62.926000,z:=-3.000000
2020-06-09-19-23-15	repicking object : 0
2020-06-09-19-23-16	[offset] x:=18.632000,y:=-62.983000,z:=-3.000000
2020-06-09-19-23-16	repicking object : 0
2020-06-09-19-23-17	[offset] x:=18.641000,y:=-62.679000,z:=-3.000000
2020-06-09-19-23-17	repicking object : 0
2020-06-09-19-23-17	[offset] x:=18.259000,y:=-63.440000,z:=-4.000000
2020-06-09-19-23-17	repicking object : 0
2020-06-09-19-23-18	grip wait finish
2020-06-09-19-23-18	dxl wait start
2020-06-09-19-23-18	[offset] x:=15.647000,y:=-64.390000,z:=-4.000000
2020-06-09-19-23-18	repicking object : 0
2020-06-09-19-23-18	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-18	repicking object : 0
2020-06-09-19-23-19	dxl wait finish
2020-06-09-19-23-19	dxl wait start
2020-06-09-19-23-19	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-19	repicking object : 0
2020-06-09-19-23-19	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-19	repicking object : 0
2020-06-09-19-23-19	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-19	repicking object : 0
2020-06-09-19-23-20	dxl wait finish
2020-06-09-19-23-20	dxl wait start
2020-06-09-19-23-20	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-20	repicking object : 0
2020-06-09-19-23-20	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-20	repicking object : 0
2020-06-09-19-23-20	dxl wait finish
2020-06-09-19-23-20	grip wait start
2020-06-09-19-23-20	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-20	repicking object : 0
2020-06-09-19-23-21	[offset] x:=15.859000,y:=-68.128000,z:=-169.000000
2020-06-09-19-23-21	repicking object : 1
2020-06-09-19-23-22	[offset] x:=22.086000,y:=-71.005000,z:=-168.000000
2020-06-09-19-23-22	repicking object : 1
2020-06-09-19-23-22	[offset] x:=21.886000,y:=-71.585000,z:=-167.000000
2020-06-09-19-23-22	repicking object : 1
2020-06-09-19-23-23	[offset] x:=21.171000,y:=-71.758000,z:=-167.000000
2020-06-09-19-23-23	repicking object : 1
2020-06-09-19-23-24	[offset] x:=20.896000,y:=-71.711000,z:=-167.000000
2020-06-09-19-23-24	repicking object : 1
2020-06-09-19-23-24	grip wait finish
2020-06-09-19-23-24	dxl wait start
2020-06-09-19-23-24	[offset] x:=20.913000,y:=-71.668000,z:=-167.000000
2020-06-09-19-23-24	repicking object : 1
2020-06-09-19-23-25	[offset] x:=21.796000,y:=-72.691000,z:=-167.000000
2020-06-09-19-23-25	repicking object : 1
2020-06-09-19-23-25	dxl wait finish
2020-06-09-19-23-25	dxl wait start
2020-06-09-19-23-25	[offset] x:=20.742000,y:=-71.731000,z:=-167.000000
2020-06-09-19-23-25	repicking object : 1
2020-06-09-19-23-25	[offset] x:=20.789000,y:=-71.628000,z:=-167.000000
2020-06-09-19-23-25	repicking object : 1
2020-06-09-19-23-26	[offset] x:=20.974000,y:=-71.564000,z:=-167.000000
2020-06-09-19-23-26	repicking object : 1
2020-06-09-19-23-26	dxl wait finish
2020-06-09-19-23-26	dxl wait start
2020-06-09-19-23-26	[offset] x:=20.833000,y:=-71.517000,z:=-167.000000
2020-06-09-19-23-26	repicking object : 1
2020-06-09-19-23-26	[offset] x:=20.774000,y:=-71.617000,z:=-167.000000
2020-06-09-19-23-26	repicking object : 1
2020-06-09-19-23-27	dxl wait finish
2020-06-09-19-23-27	grip wait start
2020-06-09-19-23-27	[offset] x:=20.707000,y:=-71.646000,z:=-167.000000
2020-06-09-19-23-27	repicking object : 1
2020-06-09-19-23-27	[offset] x:=21.550000,y:=-71.490000,z:=-167.000000
2020-06-09-19-23-27	repicking object : 1
2020-06-09-19-23-28	[offset] x:=21.093000,y:=-71.745000,z:=-167.000000
2020-06-09-19-23-28	repicking object : 1
2020-06-09-19-23-28	[offset] x:=21.115000,y:=-71.810000,z:=-167.000000
2020-06-09-19-23-28	repicking object : 1
2020-06-09-19-23-29	[offset] x:=20.950000,y:=-71.674000,z:=-167.000000
2020-06-09-19-23-29	repicking object : 1
2020-06-09-19-23-30	[offset] x:=20.752000,y:=-71.672000,z:=-167.000000
2020-06-09-19-23-30	repicking object : 1
2020-06-09-19-23-30	grip wait finish
2020-06-09-19-23-30	dxl wait start
2020-06-09-19-23-30	[offset] x:=18.036000,y:=-71.717000,z:=-166.000000
2020-06-09-19-23-30	repicking object : 1
2020-06-09-19-23-31	[offset] x:=15.569000,y:=-74.286000,z:=-166.000000
2020-06-09-19-23-31	repicking object : 1
2020-06-09-19-23-31	dxl wait finish
2020-06-09-19-23-31	dxl wait start
2020-06-09-19-23-31	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-31	repicking object : 0
2020-06-09-19-23-31	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-31	repicking object : 0
2020-06-09-19-23-32	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-32	repicking object : 0
2020-06-09-19-23-32	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-32	repicking object : 0
2020-06-09-19-23-32	dxl wait finish
2020-06-09-19-23-32	dxl wait start
2020-06-09-19-23-32	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-32	repicking object : 0
2020-06-09-19-23-33	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-33	repicking object : 0
2020-06-09-19-23-33	dxl wait finish
2020-06-09-19-23-33	grip wait start
2020-06-09-19-23-33	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-33	repicking object : 0
2020-06-09-19-23-34	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-34	repicking object : 0
2020-06-09-19-23-34	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-34	repicking object : 0
2020-06-09-19-23-35	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-35	repicking object : 0
2020-06-09-19-23-35	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-35	repicking object : 0
2020-06-09-19-23-36	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-36	repicking object : 0
2020-06-09-19-23-36	grip wait finish
2020-06-09-19-23-36	dxl wait start
2020-06-09-19-23-36	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-36	repicking object : 0
2020-06-09-19-23-37	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-37	repicking object : 0
2020-06-09-19-23-37	dxl wait finish
2020-06-09-19-23-37	dxl wait start
2020-06-09-19-23-37	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-37	repicking object : 0
2020-06-09-19-23-37	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-37	repicking object : 0
2020-06-09-19-23-38	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-38	repicking object : 0
2020-06-09-19-23-38	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-38	repicking object : 0
2020-06-09-19-23-38	dxl wait finish
2020-06-09-19-23-38	dxl wait start
2020-06-09-19-23-38	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-38	repicking object : 0
2020-06-09-19-23-39	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-39	repicking object : 0
2020-06-09-19-23-39	dxl wait finish
2020-06-09-19-23-39	grip wait start
2020-06-09-19-23-39	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-39	repicking object : 0
2020-06-09-19-23-40	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-40	repicking object : 0
2020-06-09-19-23-40	[offset] x:=18.716000,y:=-0.896000,z:=-86.000000
2020-06-09-19-23-40	repicking object : 0
2020-06-09-19-23-41	[offset] x:=18.754000,y:=-1.069000,z:=-87.000000
2020-06-09-19-23-41	repicking object : 0
2020-06-09-19-23-42	[offset] x:=11.843000,y:=1.906000,z:=-357.000000
2020-06-09-19-23-42	repicking object : 0
2020-06-09-19-23-42	[offset] x:=11.046000,y:=1.375000,z:=-355.000000
2020-06-09-19-23-42	repicking object : 0
2020-06-09-19-23-43	[offset] x:=11.131000,y:=0.987000,z:=-355.000000
2020-06-09-19-23-43	repicking object : 0
2020-06-09-19-23-43	grip wait finish
2020-06-09-19-23-43	dxl wait start
2020-06-09-19-23-44	[offset] x:=11.325000,y:=1.005000,z:=-355.000000
2020-06-09-19-23-44	repicking object : 0
2020-06-09-19-23-44	[offset] x:=10.590000,y:=1.037000,z:=-355.000000
2020-06-09-19-23-44	repicking object : 0
2020-06-09-19-23-44	dxl wait finish
2020-06-09-19-23-44	dxl wait start
2020-06-09-19-23-44	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-44	repicking object : 0
2020-06-09-19-23-45	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-45	repicking object : 0
2020-06-09-19-23-45	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-45	repicking object : 0
2020-06-09-19-23-45	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-45	repicking object : 0
2020-06-09-19-23-45	dxl wait finish
2020-06-09-19-23-45	dxl wait start
2020-06-09-19-23-46	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-46	repicking object : 0
2020-06-09-19-23-46	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-23-46	repicking object : 0
2020-06-09-19-23-46	dxl wait finish
2020-06-09-19-23-46	grip wait start
2020-06-09-19-23-46	[offset] x:=14.549000,y:=2.800000,z:=-92.000000
2020-06-09-19-23-46	repicking object : 1
2020-06-09-19-23-47	[offset] x:=16.616000,y:=-4.916000,z:=-91.000000
2020-06-09-19-23-47	repicking object : 1
2020-06-09-19-23-48	[offset] x:=19.808000,y:=-13.367000,z:=-102.000000
2020-06-09-19-23-48	repicking object : 1
2020-06-09-19-23-48	[offset] x:=18.508000,y:=-12.827000,z:=-102.000000
2020-06-09-19-23-48	repicking object : 1
2020-06-09-19-23-49	[offset] x:=18.129000,y:=-12.732000,z:=-102.000000
2020-06-09-19-23-49	repicking object : 1
2020-06-09-19-23-49	grip wait finish
2020-06-09-19-23-49	dxl wait start
2020-06-09-19-23-49	[offset] x:=18.097000,y:=-12.744000,z:=-102.000000
2020-06-09-19-23-49	repicking object : 1
2020-06-09-19-23-50	[offset] x:=18.471000,y:=-14.667000,z:=-102.000000
2020-06-09-19-23-50	repicking object : 1
2020-06-09-19-23-50	dxl wait finish
2020-06-09-19-23-50	dxl wait start
2020-06-09-19-23-50	[offset] x:=17.994000,y:=-12.997000,z:=-101.000000
2020-06-09-19-23-50	repicking object : 1
