2020-06-09-19-22-39	=============== Application Start ==============
2020-06-09-19-22-40	dxl wait start
2020-06-09-19-22-40	dxl wait finish
2020-06-09-19-22-40	dxl wait start
2020-06-09-19-22-40	dxl wait finish
2020-06-09-19-22-40	dxl wait start
2020-06-09-19-22-40	dxl wait finish
2020-06-09-19-22-40	grip wait start
2020-06-09-19-22-41	[offset] x:=18.154000,y:=-61.769000,z:=-4.000000
2020-06-09-19-22-41	repicking object : 0
2020-06-09-19-22-42	[offset] x:=18.215000,y:=-61.490000,z:=-3.000000
2020-06-09-19-22-42	repicking object : 0
2020-06-09-19-22-42	[offset] x:=18.179000,y:=-61.600000,z:=-4.000000
2020-06-09-19-22-42	repicking object : 0
2020-06-09-19-22-43	[offset] x:=18.170000,y:=-61.677000,z:=-4.000000
2020-06-09-19-22-43	repicking object : 0
2020-06-09-19-22-44	[offset] x:=17.489000,y:=-62.241000,z:=-6.000000
2020-06-09-19-22-44	repicking object : 0
2020-06-09-19-22-44	grip wait finish
2020-06-09-19-22-44	dxl wait start
2020-06-09-19-22-44	[offset] x:=16.026000,y:=-63.483000,z:=-6.000000
2020-06-09-19-22-44	repicking object : 0
2020-06-09-19-22-45	dxl wait finish
2020-06-09-19-22-45	dxl wait start
2020-06-09-19-22-45	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-22-45	repicking object : 0
2020-06-09-19-22-45	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-22-45	repicking object : 0
2020-06-09-19-22-45	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-22-45	repicking object : 0
2020-06-09-19-22-46	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-22-46	repicking object : 0
2020-06-09-19-22-46	dxl wait finish
2020-06-09-19-22-46	dxl wait start
2020-06-09-19-22-46	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-22-46	repicking object : 0
2020-06-09-19-22-46	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-22-46	repicking object : 0
2020-06-09-19-22-47	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-22-47	repicking object : 0
2020-06-09-19-22-47	dxl wait finish
2020-06-09-19-22-47	grip wait start
2020-06-09-19-22-47	[offset] x:=16.165000,y:=-65.510000,z:=-169.000000
2020-06-09-19-22-47	repicking object : 1
2020-06-09-19-22-48	[offset] x:=21.110000,y:=-67.528000,z:=-171.000000
2020-06-09-19-22-48	repicking object : 1
2020-06-09-19-22-48	[offset] x:=20.740000,y:=-66.247000,z:=-171.000000
2020-06-09-19-22-48	repicking object : 1
2020-06-09-19-22-49	[offset] x:=20.634000,y:=-66.740000,z:=-171.000000
2020-06-09-19-22-49	repicking object : 1
2020-06-09-19-22-50	[offset] x:=20.650000,y:=-66.500000,z:=-171.000000
2020-06-09-19-22-50	repicking object : 1
2020-06-09-19-22-50	[offset] x:=20.741000,y:=-66.666000,z:=-171.000000
2020-06-09-19-22-50	repicking object : 1
2020-06-09-19-22-50	grip wait finish
2020-06-09-19-22-50	dxl wait start
2020-06-09-19-22-51	[offset] x:=20.786000,y:=-66.664000,z:=-171.000000
2020-06-09-19-22-51	repicking object : 1
2020-06-09-19-22-51	dxl wait finish
2020-06-09-19-22-51	dxl wait start
2020-06-09-19-22-51	[offset] x:=20.494000,y:=-66.522000,z:=-171.000000
2020-06-09-19-22-51	repicking object : 1
2020-06-09-19-22-51	[offset] x:=20.342000,y:=-66.340000,z:=-171.000000
2020-06-09-19-22-51	repicking object : 1
2020-06-09-19-22-52	[offset] x:=20.702000,y:=-66.240000,z:=-171.000000
2020-06-09-19-22-52	repicking object : 1
2020-06-09-19-22-52	dxl wait finish
2020-06-09-19-22-52	dxl wait start
2020-06-09-19-22-52	[offset] x:=20.414000,y:=-66.387000,z:=-171.000000
2020-06-09-19-22-52	repicking object : 1
2020-06-09-19-22-52	[offset] x:=20.416000,y:=-66.436000,z:=-171.000000
2020-06-09-19-22-52	repicking object : 1
2020-06-09-19-22-53	dxl wait finish
2020-06-09-19-22-53	grip wait start
2020-06-09-19-22-53	[offset] x:=20.396000,y:=-66.582000,z:=-171.000000
2020-06-09-19-22-53	repicking object : 1
2020-06-09-19-22-53	[offset] x:=20.859000,y:=-66.501000,z:=-171.000000
2020-06-09-19-22-53	repicking object : 1
