2020-06-09-17-25-31	=============== Application Start ==============
2020-06-09-17-25-32	[offset] x:=7.034000,y:=17.685000,z:=-271.000000
2020-06-09-17-25-32	repicking object : 0
2020-06-09-17-25-33	[offset] x:=7.110000,y:=17.717000,z:=-271.000000
2020-06-09-17-25-33	repicking object : 0
2020-06-09-17-25-33	[offset] x:=7.059000,y:=17.699000,z:=-271.000000
2020-06-09-17-25-33	repicking object : 0
2020-06-09-17-25-33	[offset] x:=6.918000,y:=17.642000,z:=-271.000000
2020-06-09-17-25-33	repicking object : 0
2020-06-09-17-25-34	[offset] x:=6.763000,y:=17.938000,z:=-270.000000
2020-06-09-17-25-34	repicking object : 0
2020-06-09-17-25-34	[offset] x:=6.927000,y:=17.797000,z:=-271.000000
2020-06-09-17-25-34	repicking object : 0
2020-06-09-17-25-34	[offset] x:=6.838000,y:=17.874000,z:=-271.000000
2020-06-09-17-25-34	repicking object : 0
2020-06-09-17-25-35	[offset] x:=6.912000,y:=17.773000,z:=-271.000000
2020-06-09-17-25-35	repicking object : 0
2020-06-09-17-25-35	[offset] x:=6.889000,y:=17.628000,z:=-271.000000
2020-06-09-17-25-35	repicking object : 0
2020-06-09-17-25-35	Send data size : 91
2020-06-09-17-25-35	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[6.889,17.628,0.0,-271.0]]}}
2020-06-09-17-25-35	Send data size : 91
2020-06-09-17-25-35	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[6.889,17.628,0.0,-271.0]]}}
2020-06-09-17-25-35	Send data size : 91
2020-06-09-17-25-35	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[6.889,17.628,0.0,-271.0]]}}
2020-06-09-17-25-35	[offset] x:=7.059000,y:=17.722000,z:=-271.000000
2020-06-09-17-25-35	repicking object : 0
2020-06-09-17-25-35	Send data size : 91
2020-06-09-17-25-35	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.059,17.722,0.0,-271.0]]}}
2020-06-09-17-25-35	Send data size : 91
2020-06-09-17-25-35	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.059,17.722,0.0,-271.0]]}}
2020-06-09-17-25-36	Send data size : 91
2020-06-09-17-25-36	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.059,17.722,0.0,-271.0]]}}
2020-06-09-17-25-36	[offset] x:=7.058000,y:=17.661000,z:=-271.000000
2020-06-09-17-25-36	repicking object : 0
2020-06-09-17-25-36	Send data size : 91
2020-06-09-17-25-36	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.058,17.661,0.0,-271.0]]}}
2020-06-09-17-25-36	Send data size : 91
2020-06-09-17-25-36	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.058,17.661,0.0,-271.0]]}}
2020-06-09-17-25-36	Send data size : 91
2020-06-09-17-25-36	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.058,17.661,0.0,-271.0]]}}
2020-06-09-17-25-36	[offset] x:=7.077000,y:=17.697000,z:=-271.000000
2020-06-09-17-25-36	repicking object : 0
2020-06-09-17-25-36	Send data size : 91
2020-06-09-17-25-36	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.077,17.697,0.0,-271.0]]}}
2020-06-09-17-25-36	Send data size : 91
2020-06-09-17-25-36	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.077,17.697,0.0,-271.0]]}}
2020-06-09-17-25-36	Send data size : 91
2020-06-09-17-25-36	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.077,17.697,0.0,-271.0]]}}
2020-06-09-17-25-36	Send data size : 91
2020-06-09-17-25-36	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.077,17.697,0.0,-271.0]]}}
2020-06-09-17-25-36	[offset] x:=7.051000,y:=17.697000,z:=-271.000000
2020-06-09-17-25-36	repicking object : 0
2020-06-09-17-25-36	Send data size : 91
2020-06-09-17-25-36	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.051,17.697,0.0,-271.0]]}}
2020-06-09-17-25-36	Send data size : 91
2020-06-09-17-25-36	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.051,17.697,0.0,-271.0]]}}
2020-06-09-17-25-37	Send data size : 91
2020-06-09-17-25-37	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.051,17.697,0.0,-271.0]]}}
2020-06-09-17-25-37	[offset] x:=7.038000,y:=17.707000,z:=-271.000000
2020-06-09-17-25-37	repicking object : 0
2020-06-09-17-25-37	Send data size : 91
2020-06-09-17-25-37	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.038,17.707,0.0,-271.0]]}}
2020-06-09-17-25-37	Send data size : 91
2020-06-09-17-25-37	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.038,17.707,0.0,-271.0]]}}
2020-06-09-17-25-37	Send data size : 91
2020-06-09-17-25-37	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.038,17.707,0.0,-271.0]]}}
2020-06-09-17-25-37	Send data size : 91
2020-06-09-17-25-37	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.038,17.707,0.0,-271.0]]}}
2020-06-09-17-25-37	[offset] x:=7.021000,y:=17.652000,z:=-271.000000
2020-06-09-17-25-37	repicking object : 0
2020-06-09-17-25-37	Send data size : 91
2020-06-09-17-25-37	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.021,17.652,0.0,-271.0]]}}
2020-06-09-17-25-37	Send data size : 91
2020-06-09-17-25-37	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.021,17.652,0.0,-271.0]]}}
2020-06-09-17-25-37	Send data size : 91
2020-06-09-17-25-37	Send data : {"order":"sendstate","state":{"drop":[true],"repicking":[false,[7.021,17.652,0.0,-271.0]]}}
2020-06-09-17-25-37	[offset] x:=7.003000,y:=17.666000,z:=-271.000000
2020-06-09-17-25-37	repicking object : 0
2020-06-09-17-25-37	Send data size : 91
