2020-06-09-19-26-09	=============== Application Start ==============
2020-06-09-19-26-10	dxl wait start
2020-06-09-19-26-10	dxl wait finish
2020-06-09-19-26-10	dxl wait start
2020-06-09-19-26-10	dxl wait finish
2020-06-09-19-26-10	dxl wait start
2020-06-09-19-26-10	dxl wait finish
2020-06-09-19-26-10	grip wait start
2020-06-09-19-26-11	[offset] x:=16.585000,y:=17.071000,z:=-179.000000
2020-06-09-19-26-11	repicking object : 1
2020-06-09-19-26-12	[offset] x:=16.570000,y:=17.076000,z:=-179.000000
2020-06-09-19-26-12	repicking object : 1
2020-06-09-19-26-12	[offset] x:=16.574000,y:=17.035000,z:=-179.000000
2020-06-09-19-26-12	repicking object : 1
2020-06-09-19-26-13	[offset] x:=16.706000,y:=17.226000,z:=-180.000000
2020-06-09-19-26-13	repicking object : 1
2020-06-09-19-26-14	grip wait finish
2020-06-09-19-26-14	dxl wait start
2020-06-09-19-26-14	[offset] x:=16.357000,y:=16.437000,z:=-179.000000
2020-06-09-19-26-14	repicking object : 1
2020-06-09-19-26-14	dxl wait finish
2020-06-09-19-26-14	dxl wait start
2020-06-09-19-26-14	[offset] x:=16.219000,y:=16.141000,z:=-177.000000
2020-06-09-19-26-14	repicking object : 1
2020-06-09-19-26-15	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-26-15	repicking object : 0
2020-06-09-19-26-15	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-26-15	repicking object : 0
2020-06-09-19-26-15	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-26-15	repicking object : 0
2020-06-09-19-26-16	dxl wait finish
2020-06-09-19-26-16	dxl wait start
2020-06-09-19-26-16	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-26-16	repicking object : 0
2020-06-09-19-26-16	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-26-16	repicking object : 0
2020-06-09-19-26-16	dxl wait finish
2020-06-09-19-26-16	grip wait start
2020-06-09-19-26-16	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-26-16	repicking object : 0
2020-06-09-19-26-17	[offset] x:=13.316000,y:=21.675000,z:=-358.000000
2020-06-09-19-26-17	repicking object : 0
2020-06-09-19-26-18	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-26-18	repicking object : 0
2020-06-09-19-26-18	[offset] x:=16.730000,y:=22.143000,z:=-358.000000
2020-06-09-19-26-18	repicking object : 0
2020-06-09-19-26-19	[offset] x:=15.762000,y:=22.165000,z:=-358.000000
2020-06-09-19-26-19	repicking object : 0
2020-06-09-19-26-19	[offset] x:=15.777000,y:=21.688000,z:=-358.000000
2020-06-09-19-26-19	repicking object : 0
2020-06-09-19-26-20	grip wait finish
2020-06-09-19-26-20	dxl wait start
2020-06-09-19-26-20	[offset] x:=15.851000,y:=21.157000,z:=-358.000000
2020-06-09-19-26-20	repicking object : 0
2020-06-09-19-26-20	dxl wait finish
2020-06-09-19-26-20	dxl wait start
2020-06-09-19-26-20	[offset] x:=15.621000,y:=20.824000,z:=-357.000000
2020-06-09-19-26-20	repicking object : 0
2020-06-09-19-26-21	[offset] x:=15.725000,y:=20.871000,z:=-357.000000
2020-06-09-19-26-21	repicking object : 0
2020-06-09-19-26-21	[offset] x:=15.691000,y:=20.890000,z:=-357.000000
2020-06-09-19-26-21	repicking object : 0
2020-06-09-19-26-21	[offset] x:=15.735000,y:=20.819000,z:=-358.000000
2020-06-09-19-26-21	repicking object : 0
2020-06-09-19-26-21	dxl wait finish
2020-06-09-19-26-21	dxl wait start
2020-06-09-19-26-22	[offset] x:=15.734000,y:=20.886000,z:=-357.000000
2020-06-09-19-26-22	repicking object : 0
2020-06-09-19-26-22	[offset] x:=15.688000,y:=20.865000,z:=-357.000000
2020-06-09-19-26-22	repicking object : 0
2020-06-09-19-26-22	dxl wait finish
2020-06-09-19-26-22	grip wait start
2020-06-09-19-26-22	[offset] x:=18.273000,y:=19.879000,z:=-358.000000
2020-06-09-19-26-22	repicking object : 0
2020-06-09-19-26-23	[offset] x:=16.025000,y:=21.425000,z:=-358.000000
2020-06-09-19-26-23	repicking object : 0
2020-06-09-19-26-24	[offset] x:=16.000000,y:=22.141000,z:=-358.000000
2020-06-09-19-26-24	repicking object : 0
