2020-06-09-17-26-35	=============== Application Start ==============
2020-06-09-17-26-36	[offset] x:=6.963000,y:=10.495000,z:=-271.000000
2020-06-09-17-26-36	repicking object : 0
2020-06-09-17-26-37	[offset] x:=7.127000,y:=10.383000,z:=-271.000000
2020-06-09-17-26-37	repicking object : 0
2020-06-09-17-26-37	[offset] x:=7.651000,y:=10.622000,z:=-270.000000
2020-06-09-17-26-37	repicking object : 0
2020-06-09-17-26-37	[offset] x:=7.167000,y:=10.503000,z:=-271.000000
2020-06-09-17-26-37	repicking object : 0
2020-06-09-17-26-38	[offset] x:=6.952000,y:=10.417000,z:=-271.000000
2020-06-09-17-26-38	repicking object : 0
2020-06-09-17-26-38	[offset] x:=6.945000,y:=10.441000,z:=-271.000000
2020-06-09-17-26-38	repicking object : 0
2020-06-09-17-26-38	[offset] x:=6.877000,y:=10.243000,z:=-271.000000
2020-06-09-17-26-38	repicking object : 0
2020-06-09-17-26-38	[offset] x:=6.949000,y:=10.421000,z:=-271.000000
2020-06-09-17-26-38	repicking object : 0
2020-06-09-17-26-39	[offset] x:=6.887000,y:=10.221000,z:=-271.000000
2020-06-09-17-26-39	repicking object : 0
2020-06-09-17-26-39	[offset] x:=6.954000,y:=10.453000,z:=-271.000000
2020-06-09-17-26-39	repicking object : 0
2020-06-09-17-26-40	[offset] x:=7.135000,y:=10.272000,z:=-271.000000
2020-06-09-17-26-40	repicking object : 0
