2020-06-09-18-28-15	=============== Application Start ==============
2020-06-09-18-28-16	dxl wait start
2020-06-09-18-28-17	dxl wait finish
2020-06-09-18-28-17	grip wait start
2020-06-09-18-28-17	[offset] x:=11.306000,y:=-10.362000,z:=-97.000000
2020-06-09-18-28-17	repicking object : 1
2020-06-09-18-28-18	[offset] x:=11.786000,y:=-10.466000,z:=-97.000000
2020-06-09-18-28-18	repicking object : 1
2020-06-09-18-28-19	[offset] x:=12.460000,y:=-10.604000,z:=-97.000000
2020-06-09-18-28-19	repicking object : 1
2020-06-09-18-28-19	[offset] x:=17.183000,y:=-10.370000,z:=-97.000000
2020-06-09-18-28-19	repicking object : 1
2020-06-09-18-28-20	grip wait finish
2020-06-09-18-28-20	dxl wait start
2020-06-09-18-28-20	[offset] x:=18.347000,y:=-10.515000,z:=-97.000000
2020-06-09-18-28-20	repicking object : 1
2020-06-09-18-28-20	dxl wait finish
2020-06-09-18-28-20	dxl wait start
2020-06-09-18-28-20	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-28-20	repicking object : 0
2020-06-09-18-28-21	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-28-21	repicking object : 0
2020-06-09-18-28-21	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-28-21	repicking object : 0
2020-06-09-18-28-21	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-28-21	repicking object : 0
2020-06-09-18-28-21	dxl wait finish
2020-06-09-18-28-21	dxl wait start
2020-06-09-18-28-21	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-28-21	repicking object : 0
2020-06-09-18-28-22	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-28-22	repicking object : 0
2020-06-09-18-28-22	dxl wait finish
2020-06-09-18-28-22	grip wait start
2020-06-09-18-28-22	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-28-22	repicking object : 0
2020-06-09-18-28-23	[offset] x:=9.575000,y:=-6.070000,z:=-350.000000
2020-06-09-18-28-23	repicking object : 0
2020-06-09-18-28-23	[offset] x:=14.541000,y:=-14.334000,z:=-343.000000
2020-06-09-18-28-23	repicking object : 0
2020-06-09-18-28-24	[offset] x:=20.945000,y:=-16.815000,z:=-70.000000
2020-06-09-18-28-24	repicking object : 0
2020-06-09-18-28-24	[offset] x:=14.006000,y:=-15.371000,z:=-344.000000
2020-06-09-18-28-24	repicking object : 0
2020-06-09-18-28-24	grip wait finish
2020-06-09-18-28-24	dxl wait start
2020-06-09-18-28-25	[offset] x:=14.076000,y:=-15.414000,z:=-344.000000
2020-06-09-18-28-25	repicking object : 0
2020-06-09-18-28-25	dxl wait finish
2020-06-09-18-28-25	dxl wait start
2020-06-09-18-28-25	[offset] x:=13.705000,y:=-15.917000,z:=-344.000000
2020-06-09-18-28-25	repicking object : 0
2020-06-09-18-28-26	[offset] x:=13.841000,y:=-15.512000,z:=-344.000000
2020-06-09-18-28-26	repicking object : 0
2020-06-09-18-28-26	[offset] x:=13.839000,y:=-15.766000,z:=-344.000000
2020-06-09-18-28-26	repicking object : 0
2020-06-09-18-28-26	[offset] x:=14.024000,y:=-15.545000,z:=-344.000000
2020-06-09-18-28-26	repicking object : 0
2020-06-09-18-28-26	dxl wait finish
2020-06-09-18-28-26	dxl wait start
2020-06-09-18-28-27	[offset] x:=13.749000,y:=-15.699000,z:=-344.000000
2020-06-09-18-28-27	repicking object : 0
2020-06-09-18-28-27	[offset] x:=13.723000,y:=-15.932000,z:=-344.000000
2020-06-09-18-28-27	repicking object : 0
2020-06-09-18-28-27	dxl wait finish
