2020-06-09-19-41-06	=============== Application Start ==============
2020-06-09-19-41-07	dxl wait start
2020-06-09-19-41-07	dxl wait finish
2020-06-09-19-41-07	dxl wait start
2020-06-09-19-41-07	dxl wait finish
2020-06-09-19-41-07	dxl wait start
2020-06-09-19-41-07	dxl wait finish
2020-06-09-19-41-07	grip wait start
2020-06-09-19-41-08	[offset] x:=10.762000,y:=5.230000,z:=-342.000000
2020-06-09-19-41-08	repicking object : 0
2020-06-09-19-41-09	[offset] x:=10.599000,y:=5.325000,z:=-342.000000
2020-06-09-19-41-09	repicking object : 0
2020-06-09-19-41-09	[offset] x:=10.955000,y:=5.645000,z:=-343.000000
2020-06-09-19-41-09	repicking object : 0
2020-06-09-19-41-10	[offset] x:=8.547000,y:=5.857000,z:=-342.000000
2020-06-09-19-41-10	repicking object : 0
2020-06-09-19-41-11	grip wait finish
2020-06-09-19-41-11	dxl wait start
2020-06-09-19-41-11	[offset] x:=15.619000,y:=4.035000,z:=-70.000000
2020-06-09-19-41-11	repicking object : 0
2020-06-09-19-41-11	[offset] x:=12.145000,y:=6.514000,z:=-72.000000
2020-06-09-19-41-11	repicking object : 0
2020-06-09-19-41-11	dxl wait finish
2020-06-09-19-41-11	dxl wait start
2020-06-09-19-41-11	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-41-11	repicking object : 0
2020-06-09-19-41-12	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-41-12	repicking object : 0
2020-06-09-19-41-12	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-41-12	repicking object : 0
2020-06-09-19-41-12	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-41-12	repicking object : 0
2020-06-09-19-41-12	dxl wait finish
2020-06-09-19-41-12	dxl wait start
2020-06-09-19-41-13	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-41-13	repicking object : 0
2020-06-09-19-41-13	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-41-13	repicking object : 0
2020-06-09-19-41-13	dxl wait finish
2020-06-09-19-41-13	grip wait start
2020-06-09-19-41-14	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-41-14	repicking object : 0
2020-06-09-19-41-14	[offset] x:=17.455000,y:=1.038000,z:=-105.000000
2020-06-09-19-41-14	repicking object : 1
2020-06-09-19-41-15	[offset] x:=21.503000,y:=-1.661000,z:=-109.000000
2020-06-09-19-41-15	repicking object : 1
2020-06-09-19-41-15	[offset] x:=20.473000,y:=-1.056000,z:=-109.000000
2020-06-09-19-41-15	repicking object : 1
2020-06-09-19-41-16	[offset] x:=20.566000,y:=-2.256000,z:=-109.000000
2020-06-09-19-41-16	repicking object : 1
2020-06-09-19-41-16	grip wait finish
2020-06-09-19-41-16	dxl wait start
2020-06-09-19-41-17	[offset] x:=20.485000,y:=-1.038000,z:=-109.000000
2020-06-09-19-41-17	repicking object : 1
2020-06-09-19-41-17	dxl wait finish
2020-06-09-19-41-17	dxl wait start
2020-06-09-19-41-17	[offset] x:=20.630000,y:=-2.908000,z:=-109.000000
2020-06-09-19-41-17	repicking object : 1
2020-06-09-19-41-17	[offset] x:=20.402000,y:=-1.235000,z:=-109.000000
2020-06-09-19-41-17	repicking object : 1
2020-06-09-19-41-18	[offset] x:=20.629000,y:=-2.826000,z:=-109.000000
2020-06-09-19-41-18	repicking object : 1
2020-06-09-19-41-18	[offset] x:=20.739000,y:=-2.761000,z:=-109.000000
2020-06-09-19-41-18	repicking object : 1
2020-06-09-19-41-18	dxl wait finish
2020-06-09-19-41-18	dxl wait start
