2020-06-09-18-16-08	=============== Application Start ==============
2020-06-09-18-16-09	grip wait start
2020-06-09-18-16-10	grip wait finish
2020-06-09-18-16-10	dxl wait start
2020-06-09-18-16-10	dxl wait finish
2020-06-09-18-16-12	dxl wait start
2020-06-09-18-16-13	dxl wait finish
2020-06-09-18-16-13	dxl wait start
2020-06-09-18-16-13	dxl wait finish
2020-06-09-18-16-13	grip wait start
2020-06-09-18-16-13	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-13	repicking object : 0
2020-06-09-18-16-14	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-14	repicking object : 0
2020-06-09-18-16-14	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-14	repicking object : 0
2020-06-09-18-16-14	grip wait finish
2020-06-09-18-16-14	dxl wait start
2020-06-09-18-16-14	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-14	repicking object : 0
2020-06-09-18-16-15	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-15	repicking object : 0
2020-06-09-18-16-15	dxl wait finish
2020-06-09-18-16-15	grip wait start
2020-06-09-18-16-15	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-15	repicking object : 0
2020-06-09-18-16-15	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-15	repicking object : 0
2020-06-09-18-16-16	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-16	repicking object : 0
2020-06-09-18-16-16	grip wait finish
2020-06-09-18-16-16	dxl wait start
2020-06-09-18-16-17	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-17	repicking object : 0
2020-06-09-18-16-17	dxl wait finish
2020-06-09-18-16-17	dxl wait start
2020-06-09-18-16-17	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-17	repicking object : 0
2020-06-09-18-16-17	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-17	repicking object : 0
2020-06-09-18-16-18	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-18	repicking object : 0
2020-06-09-18-16-18	dxl wait finish
2020-06-09-18-16-18	dxl wait start
2020-06-09-18-16-18	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-18	repicking object : 0
2020-06-09-18-16-18	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-18	repicking object : 0
2020-06-09-18-16-19	dxl wait finish
2020-06-09-18-16-19	grip wait start
2020-06-09-18-16-19	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-19	repicking object : 0
2020-06-09-18-16-19	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-19	repicking object : 0
2020-06-09-18-16-20	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-20	repicking object : 0
2020-06-09-18-16-20	grip wait finish
2020-06-09-18-16-20	dxl wait start
2020-06-09-18-16-20	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-20	repicking object : 0
2020-06-09-18-16-20	dxl wait finish
2020-06-09-18-16-20	dxl wait start
2020-06-09-18-16-21	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-21	repicking object : 0
2020-06-09-18-16-21	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-21	repicking object : 0
2020-06-09-18-16-21	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-21	repicking object : 0
2020-06-09-18-16-21	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-21	repicking object : 0
2020-06-09-18-16-22	dxl wait finish
2020-06-09-18-16-22	grip wait start
2020-06-09-18-16-22	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-22	repicking object : 0
2020-06-09-18-16-22	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-22	repicking object : 0
2020-06-09-18-16-22	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-22	repicking object : 0
2020-06-09-18-16-23	grip wait finish
2020-06-09-18-16-23	dxl wait start
2020-06-09-18-16-23	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-23	repicking object : 0
2020-06-09-18-16-23	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-23	repicking object : 0
2020-06-09-18-16-23	dxl wait finish
2020-06-09-18-16-23	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-23	repicking object : 0
2020-06-09-18-16-24	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-24	repicking object : 0
2020-06-09-18-16-24	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-24	repicking object : 0
2020-06-09-18-16-25	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-25	repicking object : 0
2020-06-09-18-16-25	dxl wait start
2020-06-09-18-16-26	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-26	repicking object : 0
2020-06-09-18-16-26	dxl wait finish
2020-06-09-18-16-26	dxl wait start
2020-06-09-18-16-26	dxl wait finish
2020-06-09-18-16-26	grip wait start
2020-06-09-18-16-26	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-26	repicking object : 0
2020-06-09-18-16-27	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-27	repicking object : 0
2020-06-09-18-16-27	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-27	repicking object : 0
2020-06-09-18-16-27	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-27	repicking object : 0
2020-06-09-18-16-27	grip wait finish
2020-06-09-18-16-27	dxl wait start
2020-06-09-18-16-28	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-28	repicking object : 0
2020-06-09-18-16-28	dxl wait finish
2020-06-09-18-16-28	grip wait start
2020-06-09-18-16-28	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-28	repicking object : 0
2020-06-09-18-16-28	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-28	repicking object : 0
2020-06-09-18-16-29	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-29	repicking object : 0
2020-06-09-18-16-29	grip wait finish
2020-06-09-18-16-29	dxl wait start
2020-06-09-18-16-30	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-30	repicking object : 0
2020-06-09-18-16-30	dxl wait finish
2020-06-09-18-16-30	dxl wait start
2020-06-09-18-16-30	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-30	repicking object : 0
2020-06-09-18-16-30	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-30	repicking object : 0
2020-06-09-18-16-30	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-30	repicking object : 0
2020-06-09-18-16-31	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-31	repicking object : 0
2020-06-09-18-16-31	dxl wait finish
2020-06-09-18-16-31	dxl wait start
2020-06-09-18-16-31	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-31	repicking object : 0
2020-06-09-18-16-31	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-31	repicking object : 0
2020-06-09-18-16-32	dxl wait finish
2020-06-09-18-16-32	grip wait start
2020-06-09-18-16-32	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-32	repicking object : 0
2020-06-09-18-16-32	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-32	repicking object : 0
2020-06-09-18-16-33	grip wait finish
2020-06-09-18-16-33	dxl wait start
2020-06-09-18-16-33	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-33	repicking object : 0
2020-06-09-18-16-33	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-33	repicking object : 0
2020-06-09-18-16-33	dxl wait finish
2020-06-09-18-16-33	dxl wait start
2020-06-09-18-16-34	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-34	repicking object : 0
2020-06-09-18-16-34	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-34	repicking object : 0
2020-06-09-18-16-34	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-34	repicking object : 0
2020-06-09-18-16-35	dxl wait finish
2020-06-09-18-16-35	grip wait start
2020-06-09-18-16-35	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-35	repicking object : 0
2020-06-09-18-16-35	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-35	repicking object : 0
2020-06-09-18-16-35	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-35	repicking object : 0
2020-06-09-18-16-36	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-36	repicking object : 0
2020-06-09-18-16-36	grip wait finish
2020-06-09-18-16-36	dxl wait start
2020-06-09-18-16-36	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-36	repicking object : 0
2020-06-09-18-16-36	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-36	repicking object : 0
2020-06-09-18-16-36	dxl wait finish
2020-06-09-18-16-37	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-37	repicking object : 0
2020-06-09-18-16-37	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-37	repicking object : 0
2020-06-09-18-16-38	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-38	repicking object : 0
2020-06-09-18-16-38	dxl wait start
2020-06-09-18-16-39	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-16-39	repicking object : 0
2020-06-09-18-16-39	dxl wait finish
2020-06-09-18-16-39	dxl wait start
