2020-06-09-19-27-40	=============== Application Start ==============
2020-06-09-19-27-41	dxl wait start
2020-06-09-19-27-41	dxl wait finish
2020-06-09-19-27-41	dxl wait start
2020-06-09-19-27-42	dxl wait finish
2020-06-09-19-27-42	dxl wait start
2020-06-09-19-27-42	[offset] x:=17.556000,y:=19.534000,z:=-180.000000
2020-06-09-19-27-42	repicking object : 1
2020-06-09-19-27-43	[offset] x:=17.626000,y:=19.461000,z:=-180.000000
2020-06-09-19-27-43	repicking object : 1
2020-06-09-19-27-43	dxl wait finish
2020-06-09-19-27-43	grip wait start
2020-06-09-19-27-43	grip wait finish
2020-06-09-19-27-43	dxl wait start
2020-06-09-19-27-43	[offset] x:=18.259000,y:=19.875000,z:=-180.000000
2020-06-09-19-27-43	repicking object : 1
2020-06-09-19-27-43	[offset] x:=18.210000,y:=19.928000,z:=-180.000000
2020-06-09-19-27-43	repicking object : 1
2020-06-09-19-27-43	dxl wait finish
2020-06-09-19-27-43	dxl wait start
2020-06-09-19-27-44	[offset] x:=17.647000,y:=19.619000,z:=-180.000000
2020-06-09-19-27-44	repicking object : 1
2020-06-09-19-27-44	[offset] x:=17.569000,y:=19.528000,z:=-180.000000
2020-06-09-19-27-44	repicking object : 1
2020-06-09-19-27-44	[offset] x:=17.734000,y:=19.722000,z:=-180.000000
2020-06-09-19-27-44	repicking object : 1
2020-06-09-19-27-45	dxl wait finish
2020-06-09-19-27-45	dxl wait start
2020-06-09-19-27-45	[offset] x:=17.607000,y:=19.553000,z:=-180.000000
2020-06-09-19-27-45	repicking object : 1
2020-06-09-19-27-45	[offset] x:=17.575000,y:=19.513000,z:=-180.000000
2020-06-09-19-27-45	repicking object : 1
2020-06-09-19-27-45	[offset] x:=17.671000,y:=19.575000,z:=-180.000000
2020-06-09-19-27-45	repicking object : 1
2020-06-09-19-27-45	dxl wait finish
2020-06-09-19-27-45	grip wait start
2020-06-09-19-27-46	[offset] x:=18.473000,y:=19.326000,z:=-180.000000
2020-06-09-19-27-46	repicking object : 1
2020-06-09-19-27-46	grip wait finish
2020-06-09-19-27-46	dxl wait start
2020-06-09-19-27-46	[offset] x:=17.706000,y:=19.657000,z:=-180.000000
2020-06-09-19-27-46	repicking object : 1
2020-06-09-19-27-46	dxl wait finish
2020-06-09-19-27-46	dxl wait start
2020-06-09-19-27-47	[offset] x:=17.670000,y:=19.562000,z:=-180.000000
2020-06-09-19-27-47	repicking object : 1
2020-06-09-19-27-47	[offset] x:=17.561000,y:=19.499000,z:=-180.000000
2020-06-09-19-27-47	repicking object : 1
2020-06-09-19-27-47	[offset] x:=17.760000,y:=19.711000,z:=-180.000000
2020-06-09-19-27-47	repicking object : 1
2020-06-09-19-27-48	dxl wait finish
2020-06-09-19-27-48	dxl wait start
2020-06-09-19-27-48	[offset] x:=17.694000,y:=19.610000,z:=-180.000000
2020-06-09-19-27-48	repicking object : 1
2020-06-09-19-27-48	[offset] x:=17.533000,y:=19.519000,z:=-180.000000
2020-06-09-19-27-48	repicking object : 1
2020-06-09-19-27-48	[offset] x:=17.490000,y:=19.338000,z:=-180.000000
2020-06-09-19-27-48	repicking object : 1
2020-06-09-19-27-48	dxl wait finish
2020-06-09-19-27-48	grip wait start
2020-06-09-19-27-48	grip wait finish
2020-06-09-19-27-48	dxl wait start
2020-06-09-19-27-49	[offset] x:=18.267000,y:=19.943000,z:=-180.000000
2020-06-09-19-27-49	repicking object : 1
2020-06-09-19-27-49	[offset] x:=18.136000,y:=19.775000,z:=-180.000000
2020-06-09-19-27-49	repicking object : 1
