2020-06-09-18-25-46	=============== Application Start ==============
2020-06-09-18-25-47	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-47	repicking object : 0
2020-06-09-18-25-47	dxl wait start
2020-06-09-18-25-47	dxl wait finish
2020-06-09-18-25-47	grip wait start
2020-06-09-18-25-47	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-47	repicking object : 0
2020-06-09-18-25-48	grip wait finish
2020-06-09-18-25-48	dxl wait start
2020-06-09-18-25-48	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-48	repicking object : 0
2020-06-09-18-25-48	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-48	repicking object : 0
2020-06-09-18-25-48	dxl wait finish
2020-06-09-18-25-48	dxl wait start
2020-06-09-18-25-49	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-49	repicking object : 0
2020-06-09-18-25-49	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-49	repicking object : 0
2020-06-09-18-25-49	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-49	repicking object : 0
2020-06-09-18-25-49	dxl wait finish
2020-06-09-18-25-49	dxl wait start
2020-06-09-18-25-50	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-50	repicking object : 0
2020-06-09-18-25-50	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-50	repicking object : 0
2020-06-09-18-25-50	dxl wait finish
2020-06-09-18-25-50	grip wait start
2020-06-09-18-25-50	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-50	repicking object : 0
2020-06-09-18-25-51	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-51	repicking object : 0
2020-06-09-18-25-51	[offset] x:=-1.210000,y:=-3.117000,z:=-85.000000
2020-06-09-18-25-51	repicking object : 0
2020-06-09-18-25-52	grip wait finish
2020-06-09-18-25-52	dxl wait start
2020-06-09-18-25-52	[offset] x:=8.284000,y:=16.513000,z:=-88.000000
2020-06-09-18-25-52	repicking object : 0
2020-06-09-18-25-52	dxl wait finish
2020-06-09-18-25-52	dxl wait start
2020-06-09-18-25-52	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-52	repicking object : 0
2020-06-09-18-25-53	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-53	repicking object : 0
2020-06-09-18-25-53	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-53	repicking object : 0
2020-06-09-18-25-53	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-53	repicking object : 0
2020-06-09-18-25-54	dxl wait finish
2020-06-09-18-25-54	dxl wait start
2020-06-09-18-25-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-54	repicking object : 0
2020-06-09-18-25-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-54	repicking object : 0
2020-06-09-18-25-54	dxl wait finish
2020-06-09-18-25-54	grip wait start
2020-06-09-18-25-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-54	repicking object : 0
2020-06-09-18-25-55	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-25-55	repicking object : 0
