2020-06-09-18-27-45	=============== Application Start ==============
2020-06-09-18-27-46	[offset] x:=12.212000,y:=9.110000,z:=-346.000000
2020-06-09-18-27-46	repicking object : 0
2020-06-09-18-27-46	dxl wait start
2020-06-09-18-27-46	[offset] x:=12.092000,y:=9.201000,z:=-346.000000
2020-06-09-18-27-46	repicking object : 0
2020-06-09-18-27-47	[offset] x:=12.176000,y:=9.053000,z:=-346.000000
2020-06-09-18-27-47	repicking object : 0
2020-06-09-18-27-47	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-27-47	repicking object : 0
2020-06-09-18-27-47	dxl wait finish
2020-06-09-18-27-47	grip wait start
2020-06-09-18-27-47	[offset] x:=13.877000,y:=3.858000,z:=-342.000000
2020-06-09-18-27-47	repicking object : 0
2020-06-09-18-27-48	[offset] x:=14.986000,y:=4.055000,z:=-342.000000
2020-06-09-18-27-48	repicking object : 0
2020-06-09-18-27-49	[offset] x:=14.659000,y:=4.064000,z:=-342.000000
2020-06-09-18-27-49	repicking object : 0
2020-06-09-18-27-49	[offset] x:=10.704000,y:=4.580000,z:=-342.000000
2020-06-09-18-27-49	repicking object : 0
2020-06-09-18-27-50	[offset] x:=8.840000,y:=4.333000,z:=-340.000000
2020-06-09-18-27-50	repicking object : 0
2020-06-09-18-27-51	[offset] x:=9.265000,y:=3.977000,z:=-341.000000
2020-06-09-18-27-51	repicking object : 0
2020-06-09-18-27-51	[offset] x:=8.977000,y:=3.797000,z:=-340.000000
2020-06-09-18-27-51	repicking object : 0
2020-06-09-18-27-52	[offset] x:=16.190000,y:=2.258000,z:=-69.000000
2020-06-09-18-27-52	repicking object : 0
2020-06-09-18-27-52	grip wait finish
2020-06-09-18-27-52	dxl wait start
2020-06-09-18-27-53	[offset] x:=9.271000,y:=3.964000,z:=-341.000000
2020-06-09-18-27-53	repicking object : 0
2020-06-09-18-27-53	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-27-53	repicking object : 0
2020-06-09-18-27-53	dxl wait finish
2020-06-09-18-27-53	dxl wait start
2020-06-09-18-27-53	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-27-53	repicking object : 0
2020-06-09-18-27-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-27-54	repicking object : 0
2020-06-09-18-27-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-27-54	repicking object : 0
2020-06-09-18-27-54	dxl wait finish
2020-06-09-18-27-54	dxl wait start
2020-06-09-18-27-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-27-54	repicking object : 0
2020-06-09-18-27-55	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-27-55	repicking object : 0
2020-06-09-18-27-55	dxl wait finish
2020-06-09-18-27-55	grip wait start
2020-06-09-18-27-55	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-27-55	repicking object : 0
2020-06-09-18-27-56	[offset] x:=17.350000,y:=0.443000,z:=-106.000000
2020-06-09-18-27-56	repicking object : 1
2020-06-09-18-27-56	[offset] x:=21.943000,y:=-2.295000,z:=-109.000000
2020-06-09-18-27-56	repicking object : 1
2020-06-09-18-27-57	[offset] x:=21.362000,y:=-1.656000,z:=-109.000000
2020-06-09-18-27-57	repicking object : 1
2020-06-09-18-27-58	[offset] x:=20.815000,y:=-1.595000,z:=-108.000000
2020-06-09-18-27-58	repicking object : 1
2020-06-09-18-27-58	grip wait finish
2020-06-09-18-27-58	dxl wait start
