2020-06-09-20-01-01	=============== Application Start ==============
2020-06-09-20-01-02	dxl wait start
2020-06-09-20-01-02	dxl wait finish
2020-06-09-20-01-02	dxl wait start
2020-06-09-20-01-02	dxl wait finish
2020-06-09-20-01-02	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-02	repicking object : 0
2020-06-09-20-01-03	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-03	repicking object : 0
2020-06-09-20-01-03	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-03	repicking object : 0
2020-06-09-20-01-03	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-03	repicking object : 0
2020-06-09-20-01-04	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-04	repicking object : 0
2020-06-09-20-01-04	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-04	repicking object : 0
2020-06-09-20-01-04	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-04	repicking object : 0
2020-06-09-20-01-05	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-05	repicking object : 0
2020-06-09-20-01-05	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-05	repicking object : 0
2020-06-09-20-01-05	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-05	repicking object : 0
2020-06-09-20-01-06	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-06	repicking object : 0
2020-06-09-20-01-06	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-06	repicking object : 0
2020-06-09-20-01-06	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-06	repicking object : 0
2020-06-09-20-01-07	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-07	repicking object : 0
2020-06-09-20-01-07	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-07	repicking object : 0
2020-06-09-20-01-07	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-07	repicking object : 0
2020-06-09-20-01-08	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-08	repicking object : 0
2020-06-09-20-01-08	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-08	repicking object : 0
2020-06-09-20-01-08	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-08	repicking object : 0
2020-06-09-20-01-09	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-09	repicking object : 0
2020-06-09-20-01-09	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-09	repicking object : 0
2020-06-09-20-01-09	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-09	repicking object : 0
2020-06-09-20-01-09	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-09	repicking object : 0
2020-06-09-20-01-10	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-10	repicking object : 0
2020-06-09-20-01-10	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-10	repicking object : 0
2020-06-09-20-01-10	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-10	repicking object : 0
2020-06-09-20-01-11	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-11	repicking object : 0
2020-06-09-20-01-11	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-11	repicking object : 0
2020-06-09-20-01-11	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-11	repicking object : 0
2020-06-09-20-01-12	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-12	repicking object : 0
2020-06-09-20-01-12	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-12	repicking object : 0
2020-06-09-20-01-12	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-12	repicking object : 0
2020-06-09-20-01-13	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-20-01-13	repicking object : 0
2020-06-09-20-01-13	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
