2020-06-09-18-37-41	=============== Application Start ==============
2020-06-09-18-37-42	dxl wait start
2020-06-09-18-37-42	dxl wait finish
2020-06-09-18-37-42	grip wait start
2020-06-09-18-37-43	[offset] x:=22.027000,y:=-64.297000,z:=-175.000000
2020-06-09-18-37-43	repicking object : 1
2020-06-09-18-37-44	[offset] x:=22.044000,y:=-64.348000,z:=-176.000000
2020-06-09-18-37-44	repicking object : 1
2020-06-09-18-37-45	[offset] x:=22.026000,y:=-64.375000,z:=-176.000000
2020-06-09-18-37-45	repicking object : 1
2020-06-09-18-37-45	[offset] x:=19.667000,y:=-64.340000,z:=-175.000000
2020-06-09-18-37-45	repicking object : 1
2020-06-09-18-37-45	grip wait finish
2020-06-09-18-37-45	dxl wait start
2020-06-09-18-37-46	[offset] x:=15.369000,y:=-64.380000,z:=-175.000000
2020-06-09-18-37-46	repicking object : 1
2020-06-09-18-37-46	dxl wait finish
2020-06-09-18-37-46	dxl wait start
2020-06-09-18-37-46	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-37-46	repicking object : 0
2020-06-09-18-37-47	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-37-47	repicking object : 0
2020-06-09-18-37-47	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-37-47	repicking object : 0
2020-06-09-18-37-47	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-37-47	repicking object : 0
2020-06-09-18-37-47	dxl wait finish
2020-06-09-18-37-47	dxl wait start
2020-06-09-18-37-48	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-37-48	repicking object : 0
2020-06-09-18-37-48	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-37-48	repicking object : 0
2020-06-09-18-37-48	dxl wait finish
2020-06-09-18-37-48	grip wait start
2020-06-09-18-37-48	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-37-48	repicking object : 0
2020-06-09-18-37-49	[offset] x:=19.520000,y:=-70.954000,z:=-10.000000
2020-06-09-18-37-49	repicking object : 0
2020-06-09-18-37-50	[offset] x:=18.782000,y:=-71.281000,z:=-11.000000
2020-06-09-18-37-50	repicking object : 0
2020-06-09-18-37-50	[offset] x:=18.985000,y:=-71.263000,z:=-11.000000
2020-06-09-18-37-50	repicking object : 0
2020-06-09-18-37-51	[offset] x:=18.793000,y:=-71.276000,z:=-10.000000
2020-06-09-18-37-51	repicking object : 0
2020-06-09-18-37-51	grip wait finish
2020-06-09-18-37-51	dxl wait start
2020-06-09-18-37-52	[offset] x:=19.027000,y:=-70.916000,z:=-11.000000
2020-06-09-18-37-52	repicking object : 0
2020-06-09-18-37-52	dxl wait finish
2020-06-09-18-37-52	dxl wait start
2020-06-09-18-37-52	[offset] x:=18.793000,y:=-70.879000,z:=-11.000000
2020-06-09-18-37-52	repicking object : 0
2020-06-09-18-37-52	[offset] x:=18.626000,y:=-70.551000,z:=-11.000000
2020-06-09-18-37-52	repicking object : 0
2020-06-09-18-37-52	[offset] x:=18.871000,y:=-70.727000,z:=-11.000000
2020-06-09-18-37-52	repicking object : 0
2020-06-09-18-37-53	dxl wait finish
2020-06-09-18-37-53	dxl wait start
2020-06-09-18-37-53	[offset] x:=18.603000,y:=-70.740000,z:=-11.000000
2020-06-09-18-37-53	repicking object : 0
2020-06-09-18-37-53	[offset] x:=18.419000,y:=-70.737000,z:=-11.000000
2020-06-09-18-37-53	repicking object : 0
2020-06-09-18-37-53	dxl wait finish
2020-06-09-18-37-53	grip wait start
2020-06-09-18-37-53	[offset] x:=18.685000,y:=-70.898000,z:=-11.000000
2020-06-09-18-37-53	repicking object : 0
2020-06-09-18-37-54	[offset] x:=19.779000,y:=-71.419000,z:=-12.000000
2020-06-09-18-37-54	repicking object : 0
2020-06-09-18-37-55	[offset] x:=18.960000,y:=-71.206000,z:=-11.000000
2020-06-09-18-37-55	repicking object : 0
2020-06-09-18-37-55	[offset] x:=18.985000,y:=-71.174000,z:=-11.000000
2020-06-09-18-37-55	repicking object : 0
2020-06-09-18-37-56	[offset] x:=18.870000,y:=-70.837000,z:=-11.000000
2020-06-09-18-37-56	repicking object : 0
2020-06-09-18-37-57	grip wait finish
2020-06-09-18-37-57	dxl wait start
2020-06-09-18-37-57	[offset] x:=17.519000,y:=-71.638000,z:=-11.000000
2020-06-09-18-37-57	repicking object : 0
2020-06-09-18-37-57	dxl wait finish
2020-06-09-18-37-57	dxl wait start
2020-06-09-18-37-57	[offset] x:=16.953000,y:=-73.416000,z:=-14.000000
2020-06-09-18-37-57	repicking object : 0
2020-06-09-18-37-58	[offset] x:=15.561000,y:=-72.450000,z:=-14.000000
2020-06-09-18-37-58	repicking object : 0
2020-06-09-18-37-58	[offset] x:=15.699000,y:=-72.676000,z:=-13.000000
2020-06-09-18-37-58	repicking object : 0
2020-06-09-18-37-58	[offset] x:=15.957000,y:=-72.853000,z:=-14.000000
2020-06-09-18-37-58	repicking object : 0
2020-06-09-18-37-58	dxl wait finish
2020-06-09-18-37-58	dxl wait start
2020-06-09-18-37-59	[offset] x:=15.705000,y:=-72.698000,z:=-14.000000
2020-06-09-18-37-59	repicking object : 0
2020-06-09-18-37-59	[offset] x:=15.566000,y:=-72.412000,z:=-14.000000
2020-06-09-18-37-59	repicking object : 0
2020-06-09-18-37-59	dxl wait finish
2020-06-09-18-37-59	grip wait start
2020-06-09-18-37-59	[offset] x:=15.716000,y:=-72.739000,z:=-13.000000
2020-06-09-18-37-59	repicking object : 0
2020-06-09-18-38-00	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-38-00	repicking object : 0
2020-06-09-18-38-01	[offset] x:=21.597000,y:=-75.527000,z:=-18.000000
2020-06-09-18-38-01	repicking object : 0
2020-06-09-18-38-01	[offset] x:=21.640000,y:=-75.774000,z:=-19.000000
2020-06-09-18-38-01	repicking object : 0
2020-06-09-18-38-02	[offset] x:=21.578000,y:=-75.516000,z:=-18.000000
2020-06-09-18-38-02	repicking object : 0
2020-06-09-18-38-02	grip wait finish
2020-06-09-18-38-02	dxl wait start
2020-06-09-18-38-03	[offset] x:=21.653000,y:=-75.549000,z:=-18.000000
2020-06-09-18-38-03	repicking object : 0
2020-06-09-18-38-03	dxl wait finish
2020-06-09-18-38-03	dxl wait start
2020-06-09-18-38-03	[offset] x:=21.326000,y:=-75.818000,z:=-19.000000
2020-06-09-18-38-03	repicking object : 0
