2020-06-09-18-39-50	=============== Application Start ==============
2020-06-09-18-39-51	dxl wait start
2020-06-09-18-39-51	[offset] x:=19.636000,y:=-28.261000,z:=-177.000000
2020-06-09-18-39-51	repicking object : 1
2020-06-09-18-39-51	[offset] x:=19.584000,y:=-28.251000,z:=-177.000000
2020-06-09-18-39-51	repicking object : 1
2020-06-09-18-39-52	[offset] x:=19.438000,y:=-28.486000,z:=-177.000000
2020-06-09-18-39-52	repicking object : 1
2020-06-09-18-39-52	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-39-52	repicking object : 0
2020-06-09-18-39-52	dxl wait finish
2020-06-09-18-39-52	grip wait start
2020-06-09-18-39-53	[offset] x:=-52.651000,y:=-56.420000,z:=-188.000000
2020-06-09-18-39-53	repicking object : 1
2020-06-09-18-39-54	[offset] x:=-52.414000,y:=-59.948000,z:=-183.000000
2020-06-09-18-39-54	repicking object : 1
2020-06-09-18-39-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-39-54	repicking object : 0
2020-06-09-18-39-55	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-39-55	repicking object : 0
2020-06-09-18-39-55	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-39-55	repicking object : 0
2020-06-09-18-39-56	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-39-56	repicking object : 0
2020-06-09-18-39-56	grip wait finish
2020-06-09-18-39-56	dxl wait start
2020-06-09-18-39-57	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-39-57	repicking object : 0
2020-06-09-18-39-57	dxl wait finish
2020-06-09-18-39-57	dxl wait start
2020-06-09-18-39-57	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-39-57	repicking object : 0
2020-06-09-18-39-58	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-39-58	repicking object : 0
2020-06-09-18-39-58	[offset] x:=-4.758000,y:=26.521000,z:=-182.000000
2020-06-09-18-39-58	repicking object : 1
2020-06-09-18-39-58	dxl wait finish
2020-06-09-18-39-58	dxl wait start
2020-06-09-18-39-58	[offset] x:=17.848000,y:=-1.197000,z:=-183.000000
2020-06-09-18-39-58	repicking object : 1
2020-06-09-18-39-58	[offset] x:=18.086000,y:=-0.981000,z:=-183.000000
2020-06-09-18-39-58	repicking object : 1
2020-06-09-18-39-59	dxl wait finish
2020-06-09-18-39-59	grip wait start
2020-06-09-18-39-59	[offset] x:=17.755000,y:=-1.212000,z:=-183.000000
2020-06-09-18-39-59	repicking object : 1
2020-06-09-18-39-59	[offset] x:=16.395000,y:=-2.785000,z:=-182.000000
2020-06-09-18-39-59	repicking object : 1
2020-06-09-18-40-00	[offset] x:=15.967000,y:=-3.495000,z:=-183.000000
2020-06-09-18-40-00	repicking object : 1
2020-06-09-18-40-01	[offset] x:=14.175000,y:=0.520000,z:=-174.000000
2020-06-09-18-40-01	repicking object : 1
2020-06-09-18-40-01	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-40-01	repicking object : 0
2020-06-09-18-40-02	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-40-02	repicking object : 0
2020-06-09-18-40-02	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-40-02	repicking object : 0
2020-06-09-18-40-03	grip wait finish
2020-06-09-18-40-03	dxl wait start
2020-06-09-18-40-03	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-40-03	repicking object : 0
2020-06-09-18-40-03	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-40-03	repicking object : 0
2020-06-09-18-40-03	dxl wait finish
2020-06-09-18-40-03	dxl wait start
2020-06-09-18-40-04	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-40-04	repicking object : 0
2020-06-09-18-40-04	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-40-04	repicking object : 0
2020-06-09-18-40-04	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-40-04	repicking object : 0
2020-06-09-18-40-05	dxl wait finish
2020-06-09-18-40-05	dxl wait start
2020-06-09-18-40-05	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-40-05	repicking object : 0
2020-06-09-18-40-05	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-40-05	repicking object : 0
