2020-06-09-19-25-10	=============== Application Start ==============
2020-06-09-19-25-11	[offset] x:=8.321000,y:=-14.229000,z:=-344.000000
2020-06-09-19-25-11	repicking object : 0
2020-06-09-19-25-11	dxl wait start
2020-06-09-19-25-11	[offset] x:=8.327000,y:=-14.237000,z:=-344.000000
2020-06-09-19-25-11	repicking object : 0
2020-06-09-19-25-12	dxl wait finish
2020-06-09-19-25-12	dxl wait start
2020-06-09-19-25-12	dxl wait finish
2020-06-09-19-25-12	dxl wait start
2020-06-09-19-25-12	[offset] x:=7.852000,y:=-14.451000,z:=-345.000000
2020-06-09-19-25-12	repicking object : 0
2020-06-09-19-25-12	[offset] x:=7.887000,y:=-14.404000,z:=-345.000000
2020-06-09-19-25-12	repicking object : 0
2020-06-09-19-25-12	dxl wait finish
2020-06-09-19-25-12	grip wait start
2020-06-09-19-25-12	[offset] x:=7.747000,y:=-14.446000,z:=-345.000000
2020-06-09-19-25-12	repicking object : 0
2020-06-09-19-25-13	[offset] x:=15.675000,y:=-15.329000,z:=-71.000000
2020-06-09-19-25-13	repicking object : 0
2020-06-09-19-25-14	[offset] x:=8.710000,y:=-14.181000,z:=-344.000000
2020-06-09-19-25-14	repicking object : 0
2020-06-09-19-25-14	[offset] x:=8.857000,y:=-13.454000,z:=-344.000000
2020-06-09-19-25-14	repicking object : 0
2020-06-09-19-25-15	grip wait finish
2020-06-09-19-25-15	dxl wait start
2020-06-09-19-25-15	[offset] x:=15.118000,y:=-15.860000,z:=-71.000000
2020-06-09-19-25-15	repicking object : 0
2020-06-09-19-25-15	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-25-15	repicking object : 0
2020-06-09-19-25-15	dxl wait finish
2020-06-09-19-25-15	dxl wait start
2020-06-09-19-25-16	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-25-16	repicking object : 0
2020-06-09-19-25-16	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-25-16	repicking object : 0
2020-06-09-19-25-16	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-25-16	repicking object : 0
2020-06-09-19-25-17	dxl wait finish
2020-06-09-19-25-17	dxl wait start
2020-06-09-19-25-17	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-25-17	repicking object : 0
2020-06-09-19-25-17	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-25-17	repicking object : 0
2020-06-09-19-25-17	dxl wait finish
2020-06-09-19-25-17	grip wait start
2020-06-09-19-25-17	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-25-17	repicking object : 0
2020-06-09-19-25-18	[offset] x:=15.865000,y:=-13.886000,z:=-104.000000
2020-06-09-19-25-18	repicking object : 1
2020-06-09-19-25-18	[offset] x:=22.638000,y:=-26.821000,z:=-104.000000
2020-06-09-19-25-18	repicking object : 1
2020-06-09-19-25-19	[offset] x:=21.718000,y:=-25.759000,z:=-103.000000
2020-06-09-19-25-19	repicking object : 1
2020-06-09-19-25-20	[offset] x:=21.154000,y:=-26.047000,z:=-103.000000
2020-06-09-19-25-20	repicking object : 1
2020-06-09-19-25-20	grip wait finish
2020-06-09-19-25-20	dxl wait start
2020-06-09-19-25-20	[offset] x:=21.167000,y:=-26.066000,z:=-103.000000
2020-06-09-19-25-20	repicking object : 1
2020-06-09-19-25-20	dxl wait finish
2020-06-09-19-25-20	dxl wait start
2020-06-09-19-25-20	[offset] x:=21.430000,y:=-27.843000,z:=-103.000000
2020-06-09-19-25-20	repicking object : 1
2020-06-09-19-25-21	[offset] x:=21.026000,y:=-26.097000,z:=-103.000000
2020-06-09-19-25-21	repicking object : 1
2020-06-09-19-25-21	[offset] x:=21.086000,y:=-26.044000,z:=-103.000000
2020-06-09-19-25-21	repicking object : 1
2020-06-09-19-25-21	[offset] x:=21.190000,y:=-25.981000,z:=-103.000000
2020-06-09-19-25-21	repicking object : 1
2020-06-09-19-25-22	dxl wait finish
2020-06-09-19-25-22	dxl wait start
2020-06-09-19-25-22	[offset] x:=21.403000,y:=-27.596000,z:=-103.000000
2020-06-09-19-25-22	repicking object : 1
2020-06-09-19-25-22	[offset] x:=21.034000,y:=-26.090000,z:=-103.000000
2020-06-09-19-25-22	repicking object : 1
2020-06-09-19-25-22	dxl wait finish
2020-06-09-19-25-22	grip wait start
2020-06-09-19-25-22	[offset] x:=21.356000,y:=-27.890000,z:=-103.000000
2020-06-09-19-25-22	repicking object : 1
2020-06-09-19-25-23	[offset] x:=22.546000,y:=-26.793000,z:=-103.000000
2020-06-09-19-25-23	repicking object : 1
2020-06-09-19-25-23	[offset] x:=21.196000,y:=-26.034000,z:=-103.000000
