2020-06-09-19-41-19	=============== Application Start ==============
2020-06-09-19-41-20	dxl wait start
2020-06-09-19-41-21	dxl wait finish
2020-06-09-19-41-21	dxl wait start
2020-06-09-19-41-21	dxl wait finish
2020-06-09-19-41-21	dxl wait start
2020-06-09-19-41-21	dxl wait finish
2020-06-09-19-41-21	grip wait start
2020-06-09-19-41-22	grip wait finish
2020-06-09-19-41-22	dxl wait start
2020-06-09-19-41-23	dxl wait finish
2020-06-09-19-41-23	dxl wait start
2020-06-09-19-41-23	[offset] x:=20.571000,y:=-2.934000,z:=-109.000000
2020-06-09-19-41-23	repicking object : 1
2020-06-09-19-41-24	[offset] x:=20.574000,y:=-2.893000,z:=-109.000000
2020-06-09-19-41-24	repicking object : 1
2020-06-09-19-41-24	[offset] x:=20.524000,y:=-1.040000,z:=-108.000000
2020-06-09-19-41-24	repicking object : 1
2020-06-09-19-41-24	dxl wait finish
2020-06-09-19-41-24	dxl wait start
2020-06-09-19-41-24	[offset] x:=20.613000,y:=-2.828000,z:=-109.000000
2020-06-09-19-41-24	repicking object : 1
2020-06-09-19-41-25	[offset] x:=20.492000,y:=-2.799000,z:=-109.000000
2020-06-09-19-41-25	repicking object : 1
2020-06-09-19-41-25	dxl wait finish
2020-06-09-19-41-25	grip wait start
2020-06-09-19-41-25	[offset] x:=20.569000,y:=-2.999000,z:=-109.000000
2020-06-09-19-41-25	repicking object : 1
2020-06-09-19-41-26	[offset] x:=23.265000,y:=-1.910000,z:=-109.000000
2020-06-09-19-41-26	repicking object : 1
2020-06-09-19-41-26	[offset] x:=20.494000,y:=-1.031000,z:=-109.000000
2020-06-09-19-41-26	repicking object : 1
2020-06-09-19-41-26	grip wait finish
2020-06-09-19-41-26	dxl wait start
2020-06-09-19-41-27	[offset] x:=20.479000,y:=-1.033000,z:=-109.000000
2020-06-09-19-41-27	repicking object : 1
2020-06-09-19-41-27	[offset] x:=20.074000,y:=-3.517000,z:=-108.000000
2020-06-09-19-41-27	repicking object : 1
2020-06-09-19-41-27	dxl wait finish
2020-06-09-19-41-27	dxl wait start
2020-06-09-19-41-27	[offset] x:=20.573000,y:=-2.979000,z:=-109.000000
2020-06-09-19-41-27	repicking object : 1
2020-06-09-19-41-28	[offset] x:=20.331000,y:=-1.167000,z:=-109.000000
2020-06-09-19-41-28	repicking object : 1
2020-06-09-19-41-28	[offset] x:=20.448000,y:=-1.077000,z:=-109.000000
2020-06-09-19-41-28	repicking object : 1
2020-06-09-19-41-28	dxl wait finish
2020-06-09-19-41-28	dxl wait start
