2020-06-09-18-09-58	=============== Application Start ==============
2020-06-09-18-09-59	grip wait start
2020-06-09-18-09-59	grip wait finish
2020-06-09-18-09-59	dxl wait start
2020-06-09-18-10-00	dxl wait finish
2020-06-09-18-10-01	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-10-01	repicking object : 0
2020-06-09-18-10-02	dxl wait start
2020-06-09-18-10-02	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-10-02	repicking object : 0
2020-06-09-18-10-03	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-10-03	repicking object : 0
2020-06-09-18-10-03	dxl wait finish
2020-06-09-18-10-03	dxl wait start
2020-06-09-18-10-03	dxl wait finish
2020-06-09-18-10-03	grip wait start
2020-06-09-18-10-03	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-10-03	repicking object : 0
2020-06-09-18-10-03	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-10-03	repicking object : 0
2020-06-09-18-10-03	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-10-03	repicking object : 0
2020-06-09-18-10-04	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-10-04	repicking object : 0
2020-06-09-18-10-04	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-10-04	repicking object : 0
2020-06-09-18-10-04	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-10-04	repicking object : 0
2020-06-09-18-10-05	grip wait finish
2020-06-09-18-10-05	dxl wait start
2020-06-09-18-10-05	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-10-05	repicking object : 0
2020-06-09-18-10-05	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-10-05	repicking object : 0
2020-06-09-18-10-05	dxl wait finish
2020-06-09-18-10-05	grip wait start
2020-06-09-18-10-05	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-10-05	repicking object : 0
2020-06-09-18-10-06	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-10-06	repicking object : 0
2020-06-09-18-10-07	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-10-07	repicking object : 0
2020-06-09-18-10-07	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
