2020-06-09-18-21-36	=============== Application Start ==============
2020-06-09-18-21-37	grip wait start
2020-06-09-18-21-38	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-38	repicking object : 0
2020-06-09-18-21-38	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-38	repicking object : 0
2020-06-09-18-21-38	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-38	repicking object : 0
2020-06-09-18-21-39	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-39	repicking object : 0
2020-06-09-18-21-39	grip wait finish
2020-06-09-18-21-39	dxl wait start
2020-06-09-18-21-39	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-39	repicking object : 0
2020-06-09-18-21-39	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-39	repicking object : 0
2020-06-09-18-21-39	dxl wait finish
2020-06-09-18-21-40	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-40	repicking object : 0
2020-06-09-18-21-40	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-40	repicking object : 0
2020-06-09-18-21-41	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-41	repicking object : 0
2020-06-09-18-21-41	dxl wait start
2020-06-09-18-21-42	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-42	repicking object : 0
2020-06-09-18-21-42	dxl wait finish
2020-06-09-18-21-42	dxl wait start
2020-06-09-18-21-42	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-42	repicking object : 0
2020-06-09-18-21-42	dxl wait finish
2020-06-09-18-21-42	grip wait start
2020-06-09-18-21-42	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-42	repicking object : 0
2020-06-09-18-21-43	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-43	repicking object : 0
2020-06-09-18-21-43	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-43	repicking object : 0
2020-06-09-18-21-43	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-43	repicking object : 0
2020-06-09-18-21-44	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-44	repicking object : 0
2020-06-09-18-21-44	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-44	repicking object : 0
2020-06-09-18-21-44	grip wait finish
2020-06-09-18-21-44	dxl wait start
2020-06-09-18-21-44	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-44	repicking object : 0
2020-06-09-18-21-45	dxl wait finish
2020-06-09-18-21-45	grip wait start
2020-06-09-18-21-45	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-45	repicking object : 0
2020-06-09-18-21-45	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-45	repicking object : 0
2020-06-09-18-21-46	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-46	repicking object : 0
2020-06-09-18-21-46	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-46	repicking object : 0
2020-06-09-18-21-47	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-47	repicking object : 0
2020-06-09-18-21-47	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-47	repicking object : 0
2020-06-09-18-21-48	grip wait finish
2020-06-09-18-21-48	dxl wait start
2020-06-09-18-21-48	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-48	repicking object : 0
2020-06-09-18-21-48	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-48	repicking object : 0
2020-06-09-18-21-48	dxl wait finish
2020-06-09-18-21-48	dxl wait start
2020-06-09-18-21-49	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-49	repicking object : 0
2020-06-09-18-21-49	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-49	repicking object : 0
2020-06-09-18-21-49	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-49	repicking object : 0
2020-06-09-18-21-49	dxl wait finish
2020-06-09-18-21-49	dxl wait start
2020-06-09-18-21-50	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-50	repicking object : 0
2020-06-09-18-21-50	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-50	repicking object : 0
2020-06-09-18-21-50	dxl wait finish
2020-06-09-18-21-50	grip wait start
2020-06-09-18-21-50	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-50	repicking object : 0
2020-06-09-18-21-51	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-51	repicking object : 0
2020-06-09-18-21-51	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-51	repicking object : 0
2020-06-09-18-21-52	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-52	repicking object : 0
2020-06-09-18-21-52	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-52	repicking object : 0
2020-06-09-18-21-53	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-53	repicking object : 0
2020-06-09-18-21-53	grip wait finish
2020-06-09-18-21-53	dxl wait start
2020-06-09-18-21-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-54	repicking object : 0
2020-06-09-18-21-54	dxl wait finish
2020-06-09-18-21-54	dxl wait start
2020-06-09-18-21-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-54	repicking object : 0
2020-06-09-18-21-54	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-18-21-54	repicking object : 0
